title,author,rating,genres
"oh, the places you'll go!",dr. seuss,8.72,fantasy
madame bovary,gustave flaubert,7.4,romance
oliver twist,charles dickens,7.76,history
the neverending story,michael ende,8.36,fantasy
jonathan livingston seagull,richard bach,7.7,documentary
the night circus,erin morgenstern,8.04,fantasy
the secret history,donna tartt,8.36,mystery
"the girl who played with fire (millennium, #2)",stieg larsson,8.5,mystery
"fifty shades of grey (fifty shades, #1)",e.l. james,7.32,romance
a story of yesterday,sergio cobo,9.18,thriller
"a storm of swords (a song of ice and fire, #3)",george r.r. martin,9.08,fantasy
the boy in the striped pajamas,john boyne,8.3,history
"the clan of the cave bear (earth's children, #1)",jean m. auel,8.16,history
"a court of mist and fury (a court of thorns and roses, #2)",sarah j. maas,9.28,fantasy
"jurassic park (jurassic park, #1)",michael crichton,8.18,science fiction
the diary of a young girl,anne frank,8.38,history
misery,stephen king,8.42,horror
the world according to garp,john irving,8.2,comedy
thirteen reasons why,jay asher,7.7,mystery
his dark materials (his dark materials #1-3),philip pullman,8.56,fantasy
the chain between worlds (the lost artefacts #1),johnathon nicolaou,9.14,fantasy
"wicked: the life and times of the wicked witch of the west (the wicked years, #1)",gregory maguire,7.08,fantasy
schindler's list,thomas keneally,8.68,history
shōgun,james clavell,8.8,history
the green mile,stephen king,8.94,horror
"clockwork prince (the infernal devices, #2)",cassandra clare,8.86,fantasy
extremely loud & incredibly close,jonathan safran foer,7.94,history
the velveteen rabbit,margery williams bianco,8.6,fantasy
the trial,franz kafka,7.92,documentary
the iliad / the odyssey,homer,8.12,fantasy
"cinder (the lunar chronicles, #1)",marissa meyer,8.26,fantasy
"the other boleyn girl (the plantagenet and tudor novels, #9)",philippa gregory,8.16,history
"the hitchhiker's guide to the galaxy (the hitchhiker's guide to the galaxy, #1)",douglas adams,8.46,science fiction
"fallen (fallen, #1)",lauren kate,7.44,fantasy
"last sacrifice (vampire academy, #6)",richelle mead,8.74,fantasy
a confederacy of dunces,john kennedy toole,7.78,comedy
the sun also rises,ernest hemingway,7.6,history
man's search for meaning,viktor e. frankl,8.74,documentary
the secret magdalene,ki longfellow,8.32,history
the crucible: a play in four acts,arthur  miller,7.2,history
gone girl,gillian flynn,8.24,mystery
cat's cradle,kurt vonnegut jr.,8.32,science fiction
"howl’s moving castle (howl’s moving castle, #1)",diana wynne jones,8.58,fantasy
the screwtape letters,c.s. lewis,8.52,fantasy
a light in the attic,shel silverstein,8.7,comedy
"spirit bound (vampire academy, #5)",richelle mead,8.66,fantasy
the god of small things,arundhati roy,7.9,history
the phantom of the opera,gaston leroux,7.92,horror
girl with a pearl earring,tracy chevalier,7.84,history
blindness,josé saramago,8.32,science fiction
the seven husbands of evelyn hugo,taylor jenkins reid,8.88,romance
the wind-up bird chronicle,haruki murakami,8.3,fantasy
"a clash of kings  (a song of ice and fire, #2)",george r.r. martin,8.82,fantasy
marley and me: life and love with the world's worst dog,john grogan,8.28,documentary
"shiver (the wolves of mercy falls, #1)",maggie stiefvater,7.52,fantasy
for whom the bell tolls,ernest hemingway,7.96,history
"marked (house of night, #1)",p.c. cast,7.62,fantasy
"mockingjay (the hunger games, #3)",suzanne collins,8.16,science fiction
paper towns,john green,7.44,romance
the lord of the rings,j.r.r. tolkien,9.04,fantasy
kafka on the shore,haruki murakami,8.26,fantasy
othello,william shakespeare,7.78,drama
"the girl who kicked the hornet's nest (millennium, #3)",stieg larsson,8.46,mystery
"inkheart (inkworld, #1)",cornelia funke,7.82,fantasy
the complete sherlock holmes,arthur conan doyle,9.0,mystery
the idiot,fyodor dostoevsky,8.4,documentary
king lear,william shakespeare,7.82,drama
"beautiful disaster (beautiful, #1)",jamie mcguire,8.04,romance
white oleander,janet fitch,7.98,drama
uncle tom's cabin,harriet beecher stowe,7.8,history
different seasons,stephen king,8.7,horror
midnight sun [2008 draft],stephenie meyer,8.02,fantasy
"all creatures great and small (all creatures great and small, #1-2)",james herriot,8.68,documentary
flow down like silver,ki longfellow,7.96,history
"foundation (foundation, #1)",isaac asimov,8.34,science fiction
the things they carried,tim o'brien,8.28,history
candide,voltaire,7.52,documentary
paradise lost,john milton,7.68,fantasy
"crooked kingdom (six of crows, #2)",leigh bardugo,9.2,fantasy
the historian,elizabeth kostova,7.58,history
james and the giant peach,roald dahl,8.06,fantasy
"lamb: the gospel according to biff, christ's childhood pal",christopher moore,8.46,comedy
the thirteenth tale,diane setterfield,7.94,mystery
the complete works,william shakespeare,8.94,drama
heidi,johanna spyri,8.04,history
"city of lost souls (the mortal instruments, #5)",cassandra clare,8.44,fantasy
"the son of neptune (the heroes of olympus, #2)",rick riordan,8.84,fantasy
"the wise man's fear (the kingkiller chronicle, #2)",patrick rothfuss,9.1,fantasy
the cider house rules,john irving,8.32,history
"graceling (graceling realm, #1)",kristin cashore,8.14,fantasy
"the mark of athena (the heroes of olympus, #3)",rick riordan,8.94,fantasy
walden,henry david thoreau,7.56,documentary
'salem's lot,stephen king,8.1,horror
sophie's world,jostein gaarder,7.92,documentary
"the final empire (mistborn, #1)",brandon sanderson,8.94,fantasy
east of eden,john steinbeck,8.8,history
the martian,andy weir,8.82,science fiction
the awakening,kate chopin,7.36,history
fried green tomatoes at the whistle stop cafe (whistle stop #1),fannie flagg,8.56,history
"the hound of the baskervilles (sherlock holmes, #5)",arthur conan doyle,8.26,mystery
"fifty shades darker (fifty shades, #2)",e.l. james,7.66,romance
the prince of tides,pat conroy,8.5,romance
the complete maus,art spiegelman,9.14,animation
middlemarch,george eliot,8.02,history
"a court of thorns and roses (a court of thorns and roses, #1)",sarah j. maas,8.4,fantasy
do androids dream of electric sheep?,philip k. dick,8.18,science fiction
"dead until dark (sookie stackhouse, #1)",charlaine harris,7.94,fantasy
"things fall apart (the african trilogy, #1)",chinua achebe,7.46,history
"a time to kill (jake brigance, #1)",john grisham,8.22,thriller
"the magician's nephew (chronicles of narnia, #6)",c.s. lewis,8.1,fantasy
number the stars,lois lowry,8.36,history
the graveyard book,neil gaiman,8.3,fantasy
all the light we cannot see,anthony doerr,8.64,history
a short history of nearly everything,bill bryson,8.42,documentary
"if i stay (if i stay, #1)",gayle forman,7.84,romance
white fang,jack london,8.02,adventure
love you forever,robert munsch,8.74,family
american psycho,bret easton ellis,7.62,horror
beowulf,unknown,6.94,fantasy
"aristotle and dante discover the secrets of the universe (aristotle and dante, #1)",benjamin alire sáenz,8.64,romance
gulliver's travels,jonathan swift,7.16,fantasy
tuck everlasting,natalie babbitt,7.8,fantasy
bel canto,ann patchett,7.86,history
"the eye of the world (the wheel of time, #1)",robert jordan,8.38,fantasy
القرآن الكريم,anonymous,8.76,documentary
"harry potter series box set (harry potter, #1-7)",j.k. rowling,9.48,fantasy
cold mountain,charles frazier,7.76,history
"dark lover (black dagger brotherhood, #1)",j.r. ward,8.32,romance
the martian chronicles,ray bradbury,8.3,science fiction
"eldest (the inheritance cycle, #2)",christopher paolini,8.04,fantasy
"beautiful creatures (caster chronicles, #1)",kami garcia,7.54,fantasy
cloud atlas,david mitchell,8.02,science fiction
a separate peace,john knowles,7.18,history
steppenwolf,hermann hesse,8.26,documentary
the hunchback of notre-dame,victor hugo,8.02,history
inferno,dante alighieri,8.04,fantasy
the amazing adventures of kavalier & clay,michael chabon,8.36,history
the bfg,roald dahl,8.46,fantasy
"stargirl (stargirl, #1)",jerry spinelli,7.54,romance
"the house of hades (the heroes of olympus, #4)",rick riordan,9.12,fantasy
"zen and the art of motorcycle maintenance: an inquiry into values (phaedrus, #1)",robert m. pirsig,7.56,documentary
dear john,nicholas sparks,8.08,romance
"the amber spyglass (his dark materials, #3)",philip pullman,8.2,fantasy
the english patient,michael ondaatje,7.74,history
the firm,robin waterfield,8.1,thriller
"city of heavenly fire (the mortal instruments, #6)",cassandra clare,8.8,fantasy
"heir of fire (throne of glass, #3)",sarah j. maas,8.92,fantasy
like water for chocolate,laura esquivel,7.9,romance
the plague,albert camus,8.04,documentary
"dragonfly in amber (outlander, #2)",diana gabaldon,8.68,history
"the cruel prince (the folk of the air, #1)",holly black,8.12,fantasy
breakfast of champions,kurt vonnegut jr.,8.14,science fiction
midnight in the garden of good and evil,john berendt,7.84,documentary
the origin of species,charles darwin,8.02,documentary
a streetcar named desire,tennessee williams,7.96,drama
a fine balance,rohinton mistry,8.74,history
"daughter of smoke & bone (daughter of smoke & bone, #1)",laini taylor,7.98,fantasy
death of a salesman,arthur  miller,7.14,drama
infinite jest,david foster wallace,8.52,comedy
the prince,niccolò machiavelli,7.68,documentary
"unbroken: a world war ii story of survival, resilience and redemption",laura hillenbrand,8.76,documentary
coraline,neil gaiman,8.22,fantasy
"crown of midnight (throne of glass, #2)",sarah j. maas,8.7,fantasy
"blood meridian, or, the evening redness in the west",cormac mccarthy,8.32,history
"ignite me (shatter me, #3)",tahereh mafi,8.94,fantasy
"the one (the selection, #3)",kiera cass,8.32,romance
"red queen (red queen, #1)",victoria aveyard,8.02,fantasy
"a feast for crows (a song of ice and fire, #4)",george r.r. martin,8.32,fantasy
"pippi longstocking (pippi långstrump, #1)",astrid lindgren,8.3,fantasy
snow flower and the secret fan,lisa see,8.18,history
carrie,stephen king,7.96,horror
"matched (matched, #1)",ally condie,7.26,science fiction
"anna and the french kiss (anna and the french kiss, #1)",stephanie perkins,7.96,romance
"the host (the host, #1)",stephenie meyer,7.72,science fiction
"i know why the caged bird sings (maya angelou's autobiography, #1)",maya angelou,8.58,documentary
"faust, first part",johann wolfgang von goethe,7.74,drama
high fidelity,nick hornby,7.82,comedy
"the chosen (reuven malther, #1)",chaim potok,8.12,history
"the tales of beedle the bard (hogwarts library, #3)",j.k. rowling,8.08,fantasy
waiting for godot,samuel beckett,7.68,drama
houdini heart,ki longfellow,7.66,horror
shantaram,gregory david roberts,8.54,adventure
pet sematary,stephen king,8.1,horror
northanger abbey,jane austen,7.68,romance
nineteen minutes,jodi picoult,8.32,drama
we were liars,e. lockhart,7.38,mystery
the reader,bernhard schlink,7.54,history
redeeming love,francine rivers,9.02,romance
"neuromancer (sprawl, #1)",william gibson,7.8,science fiction
"i, robot (robot, #0.1)",isaac asimov,8.42,science fiction
the age of innocence,edith wharton,7.92,history
"the voyage of the dawn treader (chronicles of narnia, #3)",c.s. lewis,8.18,fantasy
"the lost symbol (robert langdon, #3)",dan brown,7.48,mystery
persuasion,jane austen,8.3,romance
"queen of shadows (throne of glass, #4)",sarah j. maas,9.16,fantasy
the exorcist,william peter blatty,8.4,horror
where the crawdads sing,delia owens,8.8,history
"a dance with dragons (a song of ice and fire, #5)",george r.r. martin,8.66,fantasy
the pearl,john steinbeck,7.04,history
"betrayed (house of night, #2)",p.c. cast,7.84,fantasy
"lover awakened (black dagger brotherhood, #3)",j.r. ward,8.88,romance
divine secrets of the ya-ya sisterhood,rebecca wells,7.7,history
"the return of the king (the lord of the rings, #3)",j.r.r. tolkien,9.12,fantasy
the republic,plato,7.92,documentary
the twilight collection,stephenie meyer,7.62,fantasy
"voyager (outlander, #3)",diana gabaldon,8.78,history
"city of glass (the mortal instruments, #3)",cassandra clare,8.56,fantasy
"untamed (house of night, #4)",p.c. cast,7.88,fantasy
everything is illuminated,jonathan safran foer,7.78,history
"i, claudius (claudius, #1)",robert graves,8.48,history
the goldfinch,donna tartt,7.88,mystery
snow falling on cedars,david guterson,7.72,history
"the last battle (chronicles of narnia, #7)",c.s. lewis,8.02,fantasy
a christmas carol,charles dickens,8.14,fantasy
a room with a view,e.m. forster,7.8,romance
circe,madeline miller,8.48,fantasy
"angels & demons (robert langdon, #1)",dan brown,7.86,mystery
"red, white & royal blue",casey mcquiston,8.22,romance
bleak house,charles dickens,8.02,history
"chosen (house of night, #3)",p.c. cast,7.82,fantasy
"the fellowship of the ring (the lord of the rings, #1)",j.r.r. tolkien,8.78,fantasy
"the elite (the selection, #2)",kiera cass,7.9,romance
of human bondage,w. somerset maugham,8.28,romance
north and south,elizabeth gaskell,8.3,romance
"the raven boys (the raven cycle, #1)",maggie stiefvater,8.1,fantasy
"a discovery of witches (all souls, #1)",deborah harkness,8.04,fantasy
"night  (the night trilogy, #1)",elie wiesel,8.74,documentary
the nightingale,kristin hannah,9.22,history
ugly love,colleen hoover,8.18,romance
"bloodlines (bloodlines, #1)",richelle mead,8.4,fantasy
"the two towers (the lord of the rings, #2)",j.r.r. tolkien,8.96,fantasy
"the witching hour (lives of the mayfair witches, #1)",anne rice,8.2,horror
"unwind (unwind, #1)",neal shusterman,8.34,science fiction
"the iron king (the iron fey, #1)",julie kagawa,7.76,fantasy
"a court of wings and ruin (a court of thorns and roses, #3)",sarah j. maas,8.92,fantasy
"wizard's first rule (sword of truth, #1)",terry goodkind,8.24,fantasy
the invisible life of addie larue,v.e. schwab,8.4,fantasy
sense and sensibility,jane austen,8.16,romance
johnny got his gun,dalton trumbo,8.38,war
2001: a space odyssey,arthur c. clarke,8.34,science fiction
vanity fair,william makepeace thackeray,7.6,history
"torment (fallen, #2)",lauren kate,7.7,fantasy
"bared to you (crossfire, #1)",sylvia day,8.3,romance
"cannery row (cannery row, #1)",john steinbeck,8.1,history
"a great and terrible beauty (gemma doyle, #1)",libba bray,7.58,fantasy
far from the madding crowd,thomas hardy,7.92,romance
sarah's key,tatiana de rosnay,8.34,history
much ado about nothing,william shakespeare,8.12,drama
into thin air: a personal account of the mount everest disaster,jon krakauer,8.46,documentary
"chocolat (chocolat, #1)",joanne harris,7.92,romance
just listen,sarah dessen,8.1,romance
"angelfall (penryn & the end of days, #1)",susan ee,8.22,fantasy
three cups of tea: one man's mission to promote peace ... one school at a time,greg mortenson,7.32,documentary
"little house on the prairie (little house, #3)",laura ingalls wilder,8.42,history
"the darkest minds (the darkest minds, #1)",alexandra bracken,8.32,science fiction
"a good girl's guide to murder (a good girl's guide to murder, #1)",holly  jackson,8.68,mystery
"shadow and bone (the shadow and bone trilogy, #1)",leigh bardugo,7.88,fantasy
cutting for stone,abraham   verghese,8.62,history
"hyperion (hyperion cantos, #1)",dan simmons,8.52,science fiction
the last lecture,randy pausch,8.52,documentary
"silence (hush, hush, #3)",becca fitzpatrick,8.16,fantasy
twelfth night,william shakespeare,7.94,drama
"anne of avonlea (anne of green gables, #2)",l.m. montgomery,8.44,history
i'll give you the sun,jandy nelson,8.32,romance
lady chatterley's lover,d.h. lawrence,7.0,romance
"i am number four (lorien legacies, #1)",pittacus lore,7.88,fantasy
"dead to the world (sookie stackhouse, #4)",charlaine harris,8.24,fantasy
"acheron (dark-hunter, #14)",sherrilyn kenyon,9.12,romance
the hours,michael cunningham,7.9,history
"the bronze horseman (the bronze horseman, #1)",paullina simons,8.6,history
"words of radiance (the stormlight archive, #2)",brandon sanderson,9.52,fantasy
no country for old men,cormac mccarthy,8.3,thriller
"cress (the lunar chronicles, #3)",marissa meyer,8.82,fantasy
julius caesar,william shakespeare,7.4,drama
the zombie room,r.d. ronald,7.48,thriller
"the last unicorn (the last unicorn, #1)",peter s. beagle,8.36,fantasy
demian. die geschichte von emil sinclairs jugend,hermann hesse,8.28,documentary
"drums of autumn (outlander, #4)",diana gabaldon,8.7,history
"speaker for the dead (ender's saga, #2)",orson scott card,8.18,science fiction
cyrano de bergerac,edmond rostand,8.12,drama
"world without end (kingsbridge, #2)",ken follett,8.6,history
"hunted (house of night, #5)",p.c. cast,7.84,fantasy
"the talisman (the talisman, #1)",stephen king,8.24,horror
"scarlet (the lunar chronicles, #2)",marissa meyer,8.5,fantasy
"call me by your name (call me by your name, #1)",andré aciman,8.22,romance
"wicked lovely (wicked lovely, #1)",melissa marr,7.4,fantasy
"the knife of never letting go (chaos walking, #1)",patrick ness,7.94,science fiction
the merchant of venice,william shakespeare,7.56,drama
before i fall,lauren oliver,7.78,romance
"a wizard of earthsea (earthsea cycle, #1)",ursula k. le guin,8.02,fantasy
a brief history of time,stephen hawking,8.42,documentary
one day in the life of ivan denisovich,aleksandr solzhenitsyn,7.96,history
sapiens: a brief history of humankind,yuval noah harari,8.74,documentary
"the secret (the secret, #1)",rhonda byrne,7.46,documentary
"1q84 (1q84, #1-3)",haruki murakami,7.88,fantasy
"inheritance (the inheritance cycle, #4)",christopher paolini,8.26,fantasy
"the queen of the damned (the vampire chronicles, #3)",anne rice,7.82,horror
"the lies of locke lamora (gentleman bastard, #1)",scott lynch,8.6,fantasy
"unravel me (shatter me, #2)",tahereh mafi,8.32,science fiction
"the eyre affair (thursday next, #1)",jasper fforde,7.76,fantasy
"poison study (study, #1)",maria v. snyder,8.2,fantasy
seabiscuit: an american legend,laura hillenbrand,8.44,documentary
"prince caspian (chronicles of narnia, #2)",c.s. lewis,7.96,fantasy
foucault's pendulum,umberto eco,7.82,mystery
mythology,edith hamilton,8.06,fantasy
"where she went (if i stay, #2)",gayle forman,7.96,romance
"city of ashes (the mortal instruments, #2)",cassandra clare,8.24,fantasy
"oryx and crake (maddaddam, #1)",margaret atwood,8.02,science fiction
"left behind (left behind, #1)",tim lahaye,7.7,fantasy
"oedipus rex  (the theban plays, #1)",sophocles,7.44,drama
native son,richard wright,8.04,history
"into the wild (warriors, #1)",erin hunter,8.62,fantasy
"darkfever (fever, #1)",karen marie moning,8.12,fantasy
we have always lived in the castle,shirley jackson,7.9,horror
"shadowfever (fever, #5)",karen marie moning,8.78,fantasy
dandelion wine,ray bradbury,8.16,science fiction
the magus,john fowles,8.1,fantasy
the ocean at the end of the lane,neil gaiman,8.04,fantasy
"gone (gone, #1)",michael  grant,7.72,science fiction
the wasp factory,iain banks,7.56,horror
john adams,david mccullough,8.14,history
the holy bible: king james version,anonymous,8.86,documentary
"alanna: the first adventure (song of the lioness, #1)",tamora pierce,8.54,fantasy
possession. a romance,a.s. byatt,7.78,history
"assassin's apprentice (farseer trilogy, #1)",robin hobb,8.36,fantasy
they both die at the end,adam silvera,7.56,romance
"the wicked king (the folk of the air, #2)",holly black,8.64,fantasy
"red rising (red rising saga, #1)",pierce brown,8.52,science fiction
papillon,henri charrière,8.46,documentary
daisy jones & the six,taylor jenkins reid,8.44,history
"a breath of snow and ashes (outlander, #6)",diana gabaldon,8.88,history
mistress suffragette,diana   forbes,8.58,history
from the mixed-up files of mrs. basil e. frankweiler,e.l. konigsburg,8.3,mystery
veronika decides to die,paulo coelho,7.46,documentary
"the dark tower (the dark tower, #7)",stephen king,8.54,fantasy
the sirens of titan,kurt vonnegut jr.,8.3,science fiction
cosmos,carl sagan,8.78,documentary
corelli's mandolin,louis de bernières,8.02,history
the trigger: hunting the assassin who brought the world to war,tim butcher,7.58,history
a heartbreaking work of staggering genius,dave eggers,7.38,comedy
a man called ove,fredrik backman,8.76,comedy
the silent patient,alex michaelides,8.36,thriller
under the dome,stephen king,7.84,horror
the witch of blackbird pond,elizabeth george speare,8.02,history
"i'd tell you i love you, but then i'd have to kill you (gallagher girls, #1)",ally carter,7.68,romance
the book of mormon: another testament of jesus christ,joseph smith jr.,8.5,documentary
how to win friends and influence people,dale carnegie,8.44,documentary
anthem,ayn rand,7.24,science fiction
verity,colleen hoover,8.68,thriller
it's kind of a funny story,ned vizzini,8.18,romance
"the alienist (dr. laszlo kreizler, #1)",caleb carr,8.12,history
ivanhoe,walter scott,7.52,history
"the blood of olympus (the heroes of olympus, #5)",rick riordan,8.86,fantasy
sharp objects,gillian flynn,8.02,mystery
"one fish, two fish, red fish, blue fish",dr. seuss,8.34,fantasy
"the hero of ages (mistborn, #3)",brandon sanderson,9.06,fantasy
"confessions of a shopaholic (shopaholic, #1)",sophie kinsella,7.38,romance
"club dead (sookie stackhouse, #3)",charlaine harris,8.04,fantasy
the invention of hugo cabret,brian selznick,8.44,history
hard-boiled wonderland and the end of the world,haruki murakami,8.26,fantasy
digital fortress,dan brown,7.38,thriller
"antigone (the theban plays, #3)",sophocles,7.34,drama
the shell seekers,rosamunde pilcher,8.36,history
"living dead in dallas (sookie stackhouse, #2)",charlaine harris,7.92,fantasy
around the world in eighty days,jules verne,7.88,science fiction
the omnivore's dilemma: a natural history of four meals,michael pollan,8.36,documentary
"kingdom of ash (throne of glass, #7)",sarah j. maas,9.3,fantasy
the moon is a harsh mistress,robert a. heinlein,8.32,science fiction
howards end,e.m. forster,7.92,history
starship troopers,robert a. heinlein,8.02,science fiction
swan song,robert r. mccammon,8.58,horror
shutter island,dennis lehane,8.22,mystery
"a darker shade of magic (shades of magic, #1)",v.e. schwab,8.12,fantasy
the forgotten garden,kate morton,8.28,history
exodus,leon uris,8.68,history
i am the messenger,markus zusak,8.06,mystery
"walking disaster (beautiful, #2)",jamie mcguire,8.32,romance
gift from the sea,anne morrow lindbergh,8.3,documentary
"one of us is lying (one of us is lying, #1)",karen m. mcmanus,7.9,mystery
"house of earth and blood (crescent city, #1)",sarah j. maas,8.96,fantasy
"the millennium trilogy (millennium trilogy, #1-3)",stieg larsson,8.92,mystery
