title,overview,rating,genre
dragon ball z: bardock - the father of goku,"bardock, son goku's father, is a low-ranking saiyan soldier who was given the power to see into the future by the last remaining alien on a planet he just destroyed. he witnesses the destruction of his race and must now do his best to stop frieza's impending massacre.",7.5,animation
hercules,"bestowed with superhuman strength, a young mortal named hercules sets out to prove himself a hero in the eyes of his father, the great god zeus. along with his friends pegasus, a flying horse, and phil, a personal trainer, hercules is tricked by the hilarious, hotheaded villain hades, who's plotting to take over mount olympus!",7.5,animation
the book of life,"the journey of manolo, a young man who is torn between fulfilling the expectations of his family and following his heart. before choosing which path to follow, he embarks on an incredible adventure that spans three fantastical worlds where he must face his greatest fears.",7.5,animation
lilo & stitch,"as stitch, a runaway genetic experiment from a faraway planet, wreaks havoc on the hawaiian islands, he becomes the mischievous adopted alien ""puppy"" of an independent little girl named lilo and learns about loyalty, friendship, and ʻohana, the hawaiian tradition of family.",7.5,animation
dragon ball z: fusion reborn,"not paying attention to his job, a young demon allows the evil cleansing machine to overflow and explode, turning the young demon into the infamous monster janemba. goku and vegeta make solo attempts to defeat the monster, but realize their only option is fusion.",7.5,animation
barbie as the princess & the pauper,"in her first animated musical featuring seven original songs, barbie comes to life in this modern re-telling of a classic tale of mistaken identity and the power of friendship. based on the story by mark twain.",7.5,animation
dragon ball z: the history of trunks,it has been thirteen years since the androids began their killing rampage and son gohan is the only person fighting back. he takes bulma's son trunks as a student and even gives his own life to save trunks's. now trunks must figure out a way to change this apocalyptic future,7.5,animation
ciao alberto,"with his best friend luca away at school, alberto is enjoying his new life in portorosso working alongside massimo – the imposing, tattooed, one-armed fisherman of few words – who's quite possibly the coolest human in the entire world as far as alberto is concerned. he wants more than anything to impress his mentor, but it's easier said than done.",7.5,animation
one piece film: z,"zephyr, now known as z, rides the seas with only one goal: destroy all pirates and their dreams at becoming king of pirates. when luffy and his crew encounter him at sea, not only are they utterly defeated by the man with an arm made of seastone, nami, robin, and chopper are turned 10 years younger due to z's minion ain. luffy is so determined to win against him that he does not even notice z's master plan that could sacrifice thousands of lives.",7.5,animation
one piece: strong world,"20 years after his escape from impel down, the legendary pirate shiki, the golden lion, reappears causing massive upheaval to the marines. during his long seclusion, he was able to come up with a scheme to bring the world government to his knees. on his way to execute the plan, shiki crosses paths with the straw hat pirates and becomes so impressed with nami's knowledge of meteorology that he abducts her to forcedly enlist her into his crew. luffy and the gang end up on a strange land populated with monstrous beasts as they desperately search for shiki and nami.",7.5,animation
re:zero -starting life in another world- the frozen bond,"covered in ice and snow, elior forest is the home to dangerous magical beasts and 50 elves frozen in ice. one day, the great spirit puck helps a young girl break out of her ice prison. her name is emilia, a half-elf born with silver hair, long ears, and amethyst eyes—features that resemble the evil witch who destroyed half the world long ago.  shunned by society because of her appearance, emilia dwells in the forest with puck as her sole companion and family. burdened with a sin of destruction she does not remember committing, she spends her days trying to find a way to help her frozen kin. but when the great spirit melakuera, the arbitrator of the world, finds emilia, her right to stay alive is brought into question. will the bonds of ice she formed with puck prove to be the warm thread that defies fate?",7.5,animation
justice society: world war ii,"when the flash finds himself dropped into the middle of world war ii, he joins forces with wonder woman and her top-secret team known as the justice society of america.",7.5,animation
vampire hunter d: bloodlust,"d has been hired to track down meier link, a notoriously powerful vampire who has abducted a woman, charlotte elbourne. d's orders are strict - find charlotte, at any cost. for the first time, d faces serious competition. the markus brothers, a family of vampire hunters, were hired for the same bounty. d must intercept meier and conquer hostile forces on all sides in a deadly race against time.",7.5,animation
from up on poppy hill,two high schoolers find hope as they fight to save an old wartime era clubhouse from destruction during the preparations for the 1964 tokyo olympics.,7.5,animation
one piece: heart of gold,"a girl named olga is pursued by both the world government and a man named mad treasure, as she is the only one who knows the location of the pure gold, a substance that can buy the entire world. olga ends up sailing with the straw hat pirates, and they journey to find the pure gold on the lost island of alchemi, which is located inside the stomach of a large angler fish named bonbori.",7.5,animation
drifting home,"one fateful summer, a group of elementary school kids set adrift on an abandoned apartment building must look within themselves to find a way back home.",7.5,animation
how the grinch stole christmas!,"bitter and hateful, the grinch is irritated at the thought of a nearby village having a happy time celebrating christmas. disguised as santa claus, with his dog made to look like a reindeer, he decides to raid the village to steal all the christmas things.",7.5,animation
the testament of sister new devil: departures,"the first movie based on the tv series the testament of sister new devil, takes place right after the season 2 final.",7.5,animation
waking life,"waking life is about a young man in a persistent lucid dream-like state. the film follows its protagonist as he initially observes and later participates in philosophical discussions that weave together issues like reality, free will, our relationships with others, and the meaning of life.",7.5,animation
injustice,"when lois lane is killed, an unhinged superman decides to take control of the earth. determined to stop him, batman creates a team of freedom-fighting heroes. but when superheroes go to war, can the world survive?",7.5,animation
"batman: the long halloween, part two","as gotham city's young vigilante, the batman, struggles to pursue a brutal serial killer, district attorney harvey dent gets caught in a feud involving the criminal family of the falcones.",7.5,animation
summer wars,"a student tries to fix a problem he accidentally caused in oz, a digital world, while pretending to be the fiancé of his friend at her grandmother's 90th birthday.",7.5,animation
"batman: the long halloween, part one","following a brutal series of murders taking place on halloween, thanksgiving, and christmas, gotham city's young vigilante known as the batman sets out to pursue the mysterious serial killer alongside police officer james gordon and district attorney harvey dent.",7.5,animation
checkered ninja,a possessed ninja doll teams up with a teenage boy to avenge the murder of a poor child factory worker.,7.5,animation
south park: post covid: the return of covid,"if stan, kyle and cartman could just work together, they could go back in time to make sure covid never happened. but traveling back to the past seems to be the easy answer until they meet victor chaos.",7.5,animation
bubble,"in an abandoned tokyo overrun by bubbles and gravitational abnormalities, one gifted young man has a fateful meeting with a mysterious girl.",7.5,animation
a grand day out,"wallace and gromit have run out of cheese, and this provides an excellent excuse for the duo to take their holiday to the moon, where, as everyone knows, there is ample cheese.",7.5,animation
anohana: the flower we saw that day - the movie,"a year has passed since menma's ghostly return to the super peace busters. although the time they spent together during that summer was short, the five members reminisce about what happened as they each write a letter to their lost friend.",7.5,animation
the red turtle,"the dialogue-less film follows the major life stages of a castaway on a deserted tropical island populated by turtles, crabs and birds.",7.5,animation
hilda and the mountain king,"when hilda wakes up in the body of a troll, she must use her wits and courage to get back home, become human again — and save the city of trolberg.",7.5,animation
burn·e,what lengths will a robot undergo to do his job? burn·e is a dedicated hard working robot who finds himself locked out of his ship. burn·e quickly learns that completing a simple task can often be a very difficult endeavor.,7.5,animation
redline,"the most dangerous and exciting car race in the universe is held only once every five years. and that's tonight. the competitors are lined up at the starting block. in his vehicle, jp, the most daredevil driver on the circuit, is ready for the green light. female driver sonoshee, with whom he is secretly in love, is also on the starting line. she will stop at nothing to get on to that podium. in this race, not only is anything possible, but also anything is allowed. in fact, their adversaries have modified their vehicles to equip them with highly destructive weapons; with such participants, it is hardly surprising that redline is forbidden by the authorities, who will try anything to halt the proceedings.",7.5,animation
mavka: the forest song,"mavka — a soul of the forest and its warden — faces an impossible choice between love and her duty as guardian to the heart of the forest, when she falls in love with a human — the talented young musician lukas.",7.4,animation
paw patrol: the movie,ryder and the pups are called to adventure city to stop mayor humdinger from turning the bustling metropolis into a state of chaos.,7.4,animation
spongebob squarepants presents the tidal zone,grandpat travels through alternate dimensions and timelines to get home.,7.4,animation
turning red,"thirteen-year-old mei is experiencing the awkwardness of being a teenager with a twist – when she gets too excited, she transforms into a giant red panda.",7.4,animation
minions: the rise of gru,"a fanboy of a supervillain supergroup known as the vicious 6, gru hatches a plan to become evil enough to join them, with the backup of his followers, the minions.",7.4,animation
the little mermaid,this colorful adventure tells the story of an impetuous mermaid princess named ariel who falls in love with the very human prince eric and puts everything on the line for the chance to be with him. memorable songs and characters -- including the villainous sea witch ursula.,7.4,animation
the boss baby: family business,the templeton brothers — tim and his boss baby little bro ted — have become adults and drifted away from each other. but a new boss baby with a cutting-edge approach and a can-do attitude is about to bring them together again … and inspire a new family business.,7.4,animation
naruto shippuden the movie,"demons that once almost destroyed the world, are revived by someone. to prevent the world from being destroyed, the demon has to be sealed and the only one who can do it is the shrine maiden shion from the country of demons, who has two powers; one is sealing demons and the other is predicting the deaths of humans. this time naruto's mission is to guard shion, but she predicts naruto's death. the only way to escape it, is to get away from shion, which would leave her unguarded, then the demon, whose only goal is to kill shion will do so, thus meaning the end of the world. naruto decides to challenge this ""prediction of death.""",7.4,animation
the sea beast,"in an era when terrifying beasts roamed the seas, monster hunters were celebrated heroes. none were more beloved than the great jacob holland. but when young maisie brumble stows away on his fabled ship, he's saddled with an unexpected ally. together they embark on an epic journey into uncharted waters and make history.",7.4,animation
scooby-doo! and the witch's ghost,"scooby-doo and the mystery gang visit oakhaven, massachusetts to seek strange goings on involving a famous horror novelist and his ancestor who is rumored be a witch.",7.4,animation
the lego movie,"an ordinary lego mini-figure, mistakenly thought to be the extraordinary masterbuilder, is recruited to join a quest to stop an evil lego tyrant from conquering the universe.",7.4,animation
monster pets: a hotel transylvania short,drac tries out some new monster pets to help occupy tinkles for playtime.,7.4,animation
fantasia,"walt disney's timeless masterpiece is an extravaganza of sight and sound! see the music come to life, hear the pictures burst into song and experience the excitement that is fantasia over and over again.",7.4,animation
the loud house movie,the loud family travel to scotland and discover they are descendants of scottish royalty as they move into their giant ancestral castle.,7.4,animation
fireheart,the film explores the world of firefighters in 1920s new york city and tells the story of a 16-year-old girl who will have to become a hero in order to save her city.,7.4,animation
barbie and the diamond castle,"liana and alexa (barbie and teresa) are best friends who share everything, including their love of singing. upon meeting a girl inside a mirror, the duo embark on a journey that will put their friendship to the ultimate test.",7.4,animation
vivo,a music-loving kinkajou named vivo embarks on the journey of a lifetime to fulfill his destiny and deliver a love song for an old friend.,7.4,animation
goblin slayer -goblin's crown-,"goblin slayer and his party head up to the snowy mountains in the north after receiving that request from the sword maiden to find any information on the noble fencer that disappeared after leaving to slay some goblins. a small village gets attacked, they encounter a mysterious chapel, and something about how these goblins are acting bothers the goblin slayer.  in order to save the captured noble fencer, the goblin slayer and his party head to an ancient fortress covered in snow to face off with a powerful foe and a horde of goblins!",7.4,animation
"justice league x rwby: super heroes & huntsmen, part one","superman, batman, wonder woman, flash, cyborg, green lantern and vixen are transported to the strange world of remnant and find themselves turned into teenagers. meanwhile, remnant heroes ruby, weiss, blake and yang must combine forces with the justice league to uncover why their planet has been mysteriously altered before a superpowered grimm destroys everything.",7.4,animation
words bubble up like soda pop,"after meeting one day, a shy boy who expresses himself through haiku and a bubbly but self-conscious girl share a brief, magical summer.",7.4,animation
teen titans go! to the movies,"all the major dc superheroes are starring in their own films, all but the teen titans, so robin is determined to remedy this situation by getting over his role as a sidekick and becoming a movie star. thus, with a few madcap ideas and an inspirational song in their hearts, the teen titans head to hollywood to fulfill their dreams.",7.4,animation
scooby-doo! and the monster of mexico,"a friend of fred's, alejo otero, invites the scooby gang to veracruz, mexico. there they find a monster, el chupacabra, terrorizing the town.",7.4,animation
only yesterday,"on a trip to the countryside to pick safflowers, a young japanese woman recalls her life when she was ten years old.",7.4,animation
summer ghost,"an urban legend says that lighting fireworks at an abandoned airfield will beckon the ""summer ghost,"" a spirit that can answer any question. three teenagers, tomoya, aoi, and ryo, each have their own reason to show up one day. when a ghost named ayane appears, she reveals she is only visible to those ""who are about to touch their death."" compelled by the ghost and her message, tomoya begins regularly visiting the airfield to uncover the true purpose of her visits.",7.4,animation
chickenhare and the hamster of darkness,"young chickenhare is the adopted son of king peter, a famous adventurer. part chicken and part hare, he has a really tough time growing up and disguises himself as a hare to avoid the mockeries of his peers. when the day of the royal adventurer society trials comes, chickenhare, hampered by his disguise, fails miserably. but he is determined to grab a second chance and find the scepter of the hamster of darkness, before his evil uncle lapin. the scepter will give immense power to its holder. if lapin gets hold of it, he will be unstoppable. accompanied by his faithful servant abe, a sarcastic turtle, and meg, a martial arts expert skunk, he sets of on an epic and initiatory quest.",7.4,animation
mobile suit gundam hathaway,"after char's rebellion, hathaway noa leads an insurgency against earth federation, but meeting an enemy officer and a mysterious woman alters his fate.",7.4,animation
justice league: war,"the world is under attack by an alien armada led by the powerful apokoliptian, darkseid. a group of superheroes consisting of superman, batman, wonder woman, the flash, green lantern, cyborg, and shazam must set aside their differences and gather together to defend earth.",7.4,animation
patema inverted,"in an underground world where tunnels extend everywhere, even though they live in dark and confined spaces, people wear protective clothes and lead quiet and enjoyable lives. patema, a princess in her underground village, loves to explore the tunnels. her favorite place is a ""danger zone"" that her village prohibits people from entering. even though she's scolded, patema's curiosity can't be held back. no one ever explained what the supposed danger was. on her usual trip to the ""danger zone,"" patema faces unexpected events. when hidden secrets come to light, the story begins to unfold.",7.4,animation
belladonna of sadness,"an evil feudal lord rapes a village girl on her wedding night and proceeds to ruin her and her husband's lives. after she's eventually banished from her village, the girl makes a pact with the devil to gain magical ability and take revenge.",7.4,animation
jin-roh: the wolf brigade,"a member of an elite paramilitary counter-terrorism unit becomes traumatized after witnessing the suicide bombing of a young girl and is forced to undergo retraining. however, unbeknownst to him, he becomes a key player in a dispute between rival police divisions, as he finds himself increasingly involved with the sister of the girl he saw die.",7.4,animation
scooby-doo! wrestlemania mystery,"the mystery begins when shaggy and scooby win tickets to ""wrestlemania"" and convince the crew to go with them to wwe city. but this city harbors a spooky secret - a ghastly ghost bear holds the town in his terrifying grip! to protect the coveted wwe championship title, the gang gets help from wwe superstars like john cena, triple h, sin cara, brodus clay, aj lee, the miz and kane. watch scooby and the gang grapple with solving this case before it's too late.",7.4,animation
futurama: bender's big score,"the planet express crew return from cancellation, only to be robbed blind by hideous ""sprunging"" scam artists.  things go from bad to worse when the scammers hack bender, start traveling through time, and take earth over entirely!  will the crew be able to save the day, or will bender's larcenous tendencies and their general incompetence doom them all?",7.4,animation
big fish & begonia,"beyond the human realm, there is a magical race of beings who control the tides and the changing of the seasons. one of these beings, a young girl named chun, seeks something more—she wants to experience the human world! at sixteen, she finally gets her chance and transforms into a dolphin in order to explore the world that has her fascinated. but she soon discovers that it's a dangerous place and nearly gets killed in a vortex. luckily, her life is spared when a young boy sacrifices himself to save her. moved by his kindness and courage, she uses magic to bring him back to life only to learn that this power comes at a serious price. on a new adventure, she’ll have to make her own sacrifices in order to protect his soul until it is ready to return to the human world.",7.4,animation
my little pony: equestria girls: friendship games,"canterlot high meets its rival school, crystal prep academy, in a competition that’s a long-standing tradition – the friendship games. sunset shimmer is tasked with keeping magic out of the games to avoid the appearance of impropriety while she and her friends compete against crystal prep’s top students led by someone with an equal amount of interest in equestrian magic – this world’s twilight sparkle.",7.4,animation
the secret of kells,"adventure awaits 12 year old brendan who must fight vikings and a serpent god to find a crystal and complete the legendary book of kells. in order to finish brother aiden's book, brendan must overcome his deepest fears on a secret quest that will take him beyond the abbey walls and into the enchanted forest where dangerous mythical creatures hide. will brendan succeed in his quest?",7.4,animation
the exorcist: believer,"since the death of his wife 12 years ago, victor fielding has raised their daughter, angela on his own. but when angela and her friend katherine disappear in the woods, only to return three days later with no memory of what happened to them, it unleashes a chain of events that will force victor to confront the nadir of evil and, in his terror and desperation, seek out the only person alive who has witnessed anything like it before: chris macneil.",9.0,horror
laboratory conditions,a physician investigating a missing body disrupts an unlawful experiment.,8.7,horror
psycho,"when larcenous real estate clerk marion crane goes on the lam with a wad of cash and hopes of starting a new life, she ends up at the notorious bates motel, where manager norman bates cares for his housebound mother.",8.4,horror
the shining,"jack torrance accepts a caretaker job at the overlook hotel, where he, along with his wife wendy and their son danny, must live isolated from the rest of the world for the winter. but they aren't prepared for the madness that lurks within.",8.2,horror
alien,"during its return to the earth, commercial spaceship nostromo intercepts a distress signal from a distant planet. when a three-member team of the crew discovers a chamber containing thousands of eggs on the planet, a creature inside one of the eggs attacks an explorer. the entire crew is unaware of the impending nightmare set to descend upon them when the alien parasite planted inside its unfortunate host is birthed.",8.1,horror
the thing,"a team of american scientists investigate the empty, destroyed base of their norwegian counterparts in antarctica, only to discover a terrifying life force that can take the form of its prey.",8.0,horror
di ambang kematian,"nadia, the sole survivor of her family's tragic fate, grapples with the looming threat of her father's sacrifice as she faces a life on the edge.",8.0,horror
train to busan,"when a zombie virus pushes korea into a state of emergency, those trapped on an express train to busan must fight for their own survival.",7.8,horror
the exorcist,"12-year-old regan macneil begins to adapt an explicit new personality as strange events befall the local area of georgetown. her mother becomes torn between science and superstition in a desperate bid to save her daughter, and ultimately turns to her last hope: father damien karras, a troubled priest who is struggling with his own faith.",7.7,horror
the black phone,"finney blake, a shy but clever 13-year-old boy, is abducted by a sadistic killer and trapped in a soundproof basement where screaming is of little use. when a disconnected phone on the wall begins to ring, finney discovers that he can hear the voices of the killer’s previous victims. and they are dead set on making sure that what happened to them doesn’t happen to finney.",7.7,horror
jaws,"when an insatiable great white shark terrorizes the townspeople of amity island, the police chief, an oceanographer and a grizzled shark hunter seek to destroy the blood-thirsty beast.",7.7,horror
good boy,"christian - a millionaire heir, meets sigrid - a young student, on a dating app. they hit it off quickly, but there's only one problem: christian lives with frank, a man who dresses up and constantly acts like a dog.",7.7,horror
onibaba,"while her son, kichi, is away at war, a woman and her daughter-in-law survive by killing samurai who stray into their swamp, then selling whatever valuables they find. both are devastated when they learn that kichi has died, but his wife soon begins an affair with a neighbor who survived the war, hachi. the mother disapproves and, when she can't steal hachi for herself, tries to scare her daughter-in-law with a mysterious mask from a dead samurai.",7.7,horror
bunker,"trapped in a bunker during world war i, a group of soldiers are faced with an ungodly presence that slowly turns them against each other.",7.6,horror
halloween,"fifteen years after murdering his sister on halloween night 1963, michael myers escapes from a mental hospital and returns to the small town of haddonfield, illinois to kill again.",7.6,horror
the others,"grace is a religious woman who lives in an old house kept dark because her two children, anne and nicholas, have a rare sensitivity to light. when the family begins to suspect the house is haunted, grace fights to protect her children at any cost in the face of strange events and disturbing visions.",7.6,horror
evil dead ii,"ash williams and his girlfriend linda find a log cabin in the woods with a voice recording from an archeologist who had recorded himself reciting ancient chants from ""the book of the dead."" as they play the recording an evil power is unleashed taking over linda's body.",7.6,horror
night of the living dead,"a disparate group of individuals takes refuge in an abandoned house when corpses begin to leave the graveyard in search of fresh human bodies to devour. the pragmatic ben does his best to control the situation, but when the murderous zombies surround the house, the other survivors begin to panic.",7.6,horror
the conjuring: the devil made me do it,"paranormal investigators ed and lorraine warren encounter what would become one of the most sensational cases from their files. the fight for the soul of a young boy takes them beyond anything they'd ever seen before, to mark the first time in u.s. history that a murder suspect would claim demonic possession as a defense.",7.5,horror
the conjuring,"paranormal investigators ed and lorraine warren work to help a family terrorized by a dark presence in their farmhouse. forced to confront a powerful entity, the warrens find themselves caught in the most terrifying case of their lives.",7.5,horror
little bone lodge,"during a stormy night in the scottish highlands, two criminal brothers on the run seek refuge in a desolate farmhouse. but after taking the resident family captive, they find the house holds even darker secrets of its own.",7.5,horror
shaun of the dead,"shaun lives a supremely uneventful life, which revolves around his girlfriend, his mother, and, above all, his local pub. this gentle routine is threatened when the dead return to life and make strenuous attempts to snack on ordinary londoners.",7.5,horror
suspiria,an american newcomer to a prestigious german ballet academy comes to realize that the school is a front for something sinister amid a series of grisly murders.,7.5,horror
dawn of the dead,"during an ever-growing epidemic of zombies that have risen from the dead, two philadelphia swat team members, a traffic reporter, and his television-executive girlfriend seek refuge in a secluded shopping mall.",7.5,horror
the birds,"chic socialite melanie daniels enjoys a passing flirtation with an eligible attorney in a san francisco pet shop and, on an impulse, follows him to his hometown bearing a gift of lovebirds. but upon her arrival, the bird population runs amok. suddenly, the townsfolk face a massive avian onslaught, with the feathered fiends inexplicably attacking people all over bodega bay.",7.5,horror
invasion of the body snatchers,a small-town doctor learns that the population of his community is being replaced by emotionless alien duplicates.,7.5,horror
let the right one in,"set in 1982 in the suburb of blackeberg, stockholm, twelve-year-old oskar is a lonely outsider, bullied at school by his classmates; at home, oskar dreams of revenge against a trio of bullies. he befriends his twelve-year-old, next-door neighbor eli, who only appears at night in the snow-covered playground outside their building.",7.5,horror
the invisible man,"working in dr. cranley's laboratory, scientist jack griffin was always given the latitude to conduct some of his own experiments. his sudden departure, however, has cranley's daughter flora worried about him. griffin has taken a room at the nearby lion's head inn, hoping to reverse an experiment he conducted on himself that made him invisible. but the experimental drug has also warped his mind, making him aggressive and dangerous. he's prepared to do whatever it takes to restore his appearance.",7.5,horror
saw,"obsessed with teaching his victims the value of life, a deranged, sadistic serial killer abducts the morally wayward. once captured, they must face impossible choices in a horrific game of survival. the victims must fight to win their lives back, or die trying...",7.4,horror
a quiet place,a family is forced to live in silence while hiding from creatures that hunt by sound.,7.4,horror
the fly,"when seth brundle makes a huge scientific and technological breakthrough in teleportation, he decides to test it on himself. unbeknownst to him, a common housefly manages to get inside the device and the two become one.",7.4,horror
interview with the vampire,"a vampire relates his epic life story of love, betrayal, loneliness, and dark hunger to an over-curious reporter.",7.4,horror
the wicker man,"police sergeant neil howie is called to an island village in search of a missing girl whom the locals claim never existed. stranger still, however, are the rituals that take place there.",7.4,horror
the omen,"immediately after their miscarriage, the us diplomat robert thorn adopts the newborn damien without the knowledge of his wife. yet what he doesn’t know is that their new son is the son of the devil.",7.4,horror
ghostland,"a mother of two inherits a home from her aunt. on the first night in the new home she is confronted with murderous intruders and fights for her daughters’ lives. sixteen years later the daughters reunite at the house, and that is when things get strange . . .",7.4,horror
possession,"a young woman left her family for an unspecified reason. the husband determines to find out the truth and starts following his wife. at first, he suspects that a man is involved. but gradually, he finds out more and more strange behaviors and bizarre incidents that indicate something more than a possessed love affair.",7.4,horror
don't torture a duckling,a reporter and a promiscuous young woman try to solve a series of child killings in a remote southern italian town rife with superstition and a distrust of outsiders.,7.4,horror
braindead,"when a sumatran rat-monkey bites lionel cosgrove's mother, she's transformed into a zombie and begins killing (and transforming) the entire town while lionel races to keep things under control.",7.4,horror
eraserhead,"first time father henry spencer tries to survive his industrial environment, his angry girlfriend, and the unbearable screams of his newly born mutant child.",7.4,horror
the goldsmith,"determined to rob a goldsmith, three young robbers break into his country house. the man and his wife turn out to be less defenseless than they seem.",7.3,horror
the conjuring 2,lorraine and ed warren travel to north london to help a single mother raising four children alone in a house plagued by malicious spirits.,7.3,horror
split,"though kevin has evidenced 23 personalities to his trusted psychiatrist, dr. fletcher, there remains one still submerged who is set to materialize and dominate all the others. compelled to abduct three teenage girls led by the willful, observant casey, kevin reaches a war for survival among all of those contained within him — as well as everyone around him — as the walls between his compartments shatter apart.",7.3,horror
martyrs,"a young woman’s quest for revenge against the people who kidnapped and tortured her as a child leads her and her best friend, also a victim of child abuse, on a terrifying journey into a living hell of depravity.",7.3,horror
hereditary,"when ellen, the matriarch of the graham family, passes away, her daughter's family begins to unravel cryptic and increasingly terrifying secrets about their ancestry.",7.3,horror
the evil dead,five vacationing college students unwittingly resurrect demonic spirits through the book of the dead. now there is no escape. the guilty must be punished.,7.3,horror
carrie,"carrie white, a shy and troubled teenage girl who is tormented by her high school peers and her fanatically religious mother, begins to use her powers of telekinesis to exact revenge upon them.",7.3,horror
the texas chain saw massacre,"when sally hears that her grandfather's grave may have been vandalized, she and her paraplegic brother, franklin, set out with their friends to investigate. after a detour to their family's old farmhouse, they discover a group of crazed, murderous outcasts living next door. as the group is attacked one by one by the chainsaw-wielding leatherface, who wears a mask of human skin, the survivors must do everything they can to escape.",7.3,horror
a nightmare on elm street,"teenagers in a small town are dropping like flies, apparently in the grip of mass hysteria causing their suicides. a cop's daughter, nancy thompson, traces the cause to child molester fred krueger, who was burned alive by angry parents many years before. krueger has now come back in the dreams of his killers' children, claiming their lives as his revenge. nancy and her boyfriend, glen, must devise a plan to lure the monster out of the realm of nightmares and into the real world...",7.3,horror
dracula,"after jonathan harker attacks dracula at his castle, the vampire travels to a nearby city, where he preys on the family of harker's fiancée. the only one who may be able to protect them is dr. van helsing, harker's friend and fellow-student of vampires, who is determined to destroy dracula, whatever the cost.",7.3,horror
gonjiam: haunted asylum,"the crew of a horror web series travels to an abandoned asylum for a live broadcast, but they encounter much more than expected as they move deeper inside the nightmarish old building.",7.3,horror
ghost mansion,a horror webtoon writer journeys to a shabby apartment building in search of ideas. the building's caretaker tells him about multiple strange events that happened throughout the building's history.,7.3,horror
vampyr,"a traveller arrives at a countryside inn seemingly beckoned by haunted forces. his growing acquaintance with the family living there soon opens up a network of associations between the dead and the living, which pulls him into an unsettling mystery. at its core: the troubled, chaste daughter gisèle.",7.3,horror
#alive,"as a grisly virus rampages a city, a lone man stays locked inside his apartment, digitally cut off from seeking help and desperate to find a way out.",7.3,horror
the wailing,a stranger arrives in a little village and soon after a mysterious sickness starts spreading. a policeman is drawn into the incident and is forced to solve the mystery in order to save his daughter.,7.3,horror
return of punch and judy,"val, plagued with memories of the past, becomes convinced that a demon entity has possessed her puppets ""punch and judy."" she becomes sick, and her family thinks that she is close to death and losing her mind. celebrating val's birthday, the family begins to disappear, and those that remain have horrifying experiences with the puppets- and they soon learn the true story of punch and judy.",7.3,horror
the closet,"after moving into a new house, a young girl begins displaying strange and disturbing behavior until, one day, she disappears behind a closet. while the devastated father is left with no clue about his daughter’s disappearance, an exorcist shows up to help.",7.3,horror
talk to me,"when a group of friends discover how to conjure spirits using an embalmed hand, they become hooked on the new thrill, until one of them goes too far and unleashes terrifying supernatural forces.",7.2,horror
scream vi,"following the latest ghostface killings, the four survivors leave woodsboro behind and start a fresh chapter.",7.2,horror
it,"in a small town in maine, seven children known as the losers club come face to face with life problems, bullies and a monster that takes the shape of a clown called pennywise.",7.2,horror
the gates,"a serial killer has been sentenced to death by electric chair in london in the 1890s, but in his final hours, he puts a curse on the prison he is in, and all of those in it.",7.2,horror
midsommar,"several friends travel to sweden to study as anthropologists a summer festival that is held every ninety years in the remote hometown of one of them. what begins as a dream vacation in a place where the sun never sets, gradually turns into a dark nightmare as the mysterious inhabitants invite them to participate in their disturbing festive activities.",7.2,horror
28 days later,"twenty-eight days after a killer virus was accidentally unleashed from a british research facility, a small group of london survivors are caught in a desperate struggle to protect themselves from the infected. carried by animals and humans, the virus turns those it infects into homicidal maniacs -- and it's absolutely impossible to contain.",7.2,horror
doctor sleep,"still irrevocably scarred by the trauma he endured as a child at the overlook, dan torrance has fought to find some semblance of peace. but that peace is shattered when he encounters abra, a courageous teenager with her own powerful extrasensory gift, known as the 'shine'. instinctively recognising that dan shares her power, abra has sought him out, desperate for his help against the merciless rose the hat and her followers.",7.2,horror
dracula,"british estate agent renfield travels to transylvania to meet with the mysterious count dracula, who is interested in leasing a castle in london and is, unbeknownst to renfield, a vampire. after dracula enslaves renfield and drives him to insanity, the pair sail to london together, and as dracula begins preying on london socialites, the two become the subject of study for a supernaturalist professor, abraham van helsing.",7.2,horror
the orphanage,"a woman brings her family back to her childhood home, which used to be an orphanage, intent on reopening it. before long, her son starts to communicate with a new invisible friend.",7.2,horror
[rec],a television reporter and cameraman follow emergency workers into a dark apartment building and are quickly locked inside with something terrifying.,7.2,horror
in the mouth of madness,an insurance investigator begins discovering that the impact a horror writer's books have on his fans is more than inspirational.,7.2,horror
shutter,"a young photographer thun and his girlfriend jane discover mysterious shadows in their photographs after fleeing the scene of an accident. as they investigate the phenomenon, they find other photographs contain similar supernatural images, that thun's best friends are being haunted as well, and jane discovers that her boyfriend has not told her everything. it soon becomes clear that you can not escape your past.",7.2,horror
village of the damned,"in a small english village everyone suddenly falls unconscious. when they awake every woman of child bearing age is pregnant. the resulting children have the same strange blond hair, eyes and a strong connection to each other.",7.2,horror
the bird with the crystal plumage,"an american writer living in rome witnesses an attempted murder that is connected to an ongoing killing spree in the city, and conducts his own investigation despite himself and his girlfriend being targeted by the killer.",7.2,horror
the pope's exorcist,"father gabriele amorth, chief exorcist of the vatican, investigates a young boy's terrifying possession and ends up uncovering a centuries-old conspiracy the vatican has desperately tried to keep hidden.",7.1,horror
home for rent,"a film inspired by terrifying true events. when the tenants are members of a dark cult, they terrorize the homeowner, looking for their next prey to sacrifice.",7.1,horror
