title,overview,rating,genre
dead for a dollar,"in 1897, veteran bounty hunter max borlund is deep into mexico where he encounters professional gambler and outlaw joe cribbens — a sworn enemy he sent to prison years before. max is on a mission to find and return rachel kidd, the wife of a wealthy businessman, who as the story is told to max, has been abducted by buffalo soldier elijah jones. max is ultimately faced with a showdown to save honor.",5.7,western
the ridiculous 6,"when his long-lost outlaw father returns, tommy ""white knife"" stockburn goes on an adventure-filled journey across the old west with his five brothers.",5.2,western
guns of the magnificent seven,"in this third remake of legendary japanese director akira kurosawa's hugely influential the seven samurai, the seven gunslingers (george kennedy, michael ansara, joe don baker, bernie casey, monte markham, fernando rey and reni santoni) liberate mexican political prisoners, train them as fighters and assist them in a desperate attack on a mexican fortress in an attempt to free a revolutionary leader.",5.1,western
from dusk till dawn 3: the hangman's daughter,"narrowly escaping death, outlaw johnny madrid is on the run from the hangman, with the hangman's sensuous daughter esmeralda by his side. along with madrid's gang, johnny and esmeralda embark on an adventure filled with colorful and unsavory characters who lead them straight into the fight of their lives!",4.9,western
se7en,"two homicide detectives are on a desperate hunt for a serial killer whose crimes are based on the ""seven deadly sins"" in this dark and haunting film that takes viewers from the tortured remains of one victim to the next. the seasoned det. sommerset researches each sin in an effort to get inside the killer's mind, while his novice partner, mills, scoffs at his efforts to unravel the case.",8.4,crime
léon: the professional,"léon, the top hit man in new york, has earned a rep as an effective ""cleaner"". but when his next-door neighbors are wiped out by a loose-cannon dea agent, he becomes the unwilling custodian of 12-year-old mathilda. before long, mathilda's thoughts turn to revenge, and she considers following in léon's footsteps.",8.3,crime
a brighter summer day,"a boy experiences first love, friendships and injustices growing up in 1960s taiwan.",8.3,crime
le trou,"four prison inmates have been hatching a plan to literally dig out of jail when another prisoner, claude gaspard, is moved into their cell. they take a risk and share their plan with the newcomer. over the course of three days, the prisoners and friends break through the concrete floor using a bed post and begin to make their way through the sewer system -- yet their escape is anything but assured.",8.3,crime
high and low,a shoe company executive who has mortgaged everything he has becomes a victim of extortion when his chauffeur's son is kidnapped and is conflicted over whether he should pay the ransom.,8.3,crime
joker,"during the 1980s, a failed stand-up comedian is driven insane and turns to a life of crime and chaos in gotham city while becoming an infamous psychopathic crime figure.",8.2,crime
taxi driver,a mentally unstable vietnam war veteran works as a night-time taxi driver in new york city where the perceived decadence and sleaze feed his urge for violent action.,8.2,crime
the hate u give,"raised in a poverty-stricken slum, a 16-year-old girl named starr now attends a suburban prep school. after she witnesses a police officer shoot her unarmed best friend, she's torn between her two very different worlds as she tries to speak her truth.",8.2,crime
bound by honor,"based on the true life experiences of poet jimmy santiago baca, the film focuses on half-brothers paco and cruz, and their bi-racial cousin miklo. it opens in 1972, as the three are members of an east l.a. gang known as the ""vatos locos"", and the story focuses on how a violent crime and the influence of narcotics alter their lives. miklo is incarcerated and sent to san quentin, where he makes a ""home"" for himself. cruz becomes an exceptional artist, but a heroin addiction overcomes him with tragic results. paco becomes a cop and an enemy to his ""carnal"", miklo.",8.1,crime
memories of murder,"during the late 1980s, two detectives in a south korean province attempt to solve the nation's first series of rape-and-murder cases.",8.1,crime
