title,authors,overview,price(€),genre
Wuthering Heights,Emily Brontë,"GUARDIAN BOOKS OF THE YEAR 2015. The irresistibly collectible box set of all 80 Little Black Classics. In celebration of Penguin's 80th birthday, this box set of the 80 books in the Little Black Classics series showcases the many wonderful and varied writers in Penguin Black Classics. From India to Greece, Denmark to Iran, and not forgetting Britain, this assortment of books will transport readers...",€13.60,classic
Little Black Classics Box Set,J. R. R. Tolkien,"This boxset of J.R.R. Tolkien's epic masterpiece contains The Hobbit as well as all three books in the Lord of the Rings series, making this the definitive collection. Readers can enjoy the exploits of unlikely hero Bilbo Baggins from start to finish as he searches for the powerful Ring of Sauron, from his first fateful visit from wizard Gandalf to his departure to the Grey Havens following the...",€19.55,classic
The Lord of the Rings,Raymond Chandler,"An early morning call to a dying millionaire throws private eye Philip Marlowe into West Hollywood's hidden world of blackmail, menace and muscle. Knowing he must protect this man's daughters Marlowe didn't realise he would become so involved.",€14.42,classic
The Big Sleep,Joseph Heller,"Reading Joseph Heller's classic satire is nothing less than a rite of passage.
Set in the closing months of World War II in an American bomber squadron off the coast of Italy, Catch-22 is the story of a bombardier named Yossarian who is frantic and furious because thousands of people he has never even met keep trying to kill him.",€98.56€115.11,classic
Catch-22,"Lewis Carroll, Camille Rose Garcia",Presents the story of a young girls' strange adventures in a fantasy world.,€11.94,classic
Alice's Adventures in Wonderland,Frank McCourt,"Stunning reissue of the phenomenal worldwide bestseller: Frank McCourt's sad, funny, bittersweet memoir of growing up in New York in the 30s and in Ireland in the 40s.",€95.47€103.60,classic
Angela's Ashes,J. R. R. Tolkien,"This deluxe slipcased volume contains the definitive version of the text, featuring for the very first time full-colour facsimiles of pages from the Book of Mazarbul, illustrations by Tolkien that he intended for inclusion in the 'Bridge of Khazad-dum' chapter. Also appearing are previously unpublished family trees and two full-size fold-out maps.",€12.09,classic
Lord of the Rings,Arthur Conan Doyle,"Though Sherlock Holmes and his sidekick Dr Watson solve what will become some of their extraordinary cases - the disappearance of the race horse Silver Blaze, the horrific circumstances of the Greek Interpreter and the curious mystery of the Musgrave Ritual among them - a criminal mastermind is plotting the downfall of the great detective.",€98.56€115.11,classic
Memoirs of Sherlock Holmes,J. R. R. Tolkien,"Since first being published in 1954, J.R.R. Tolkien's Middle Earth trilogy has inspired numerous TV series and blockbuster films, gaining a fandom that reaches around the world. This beautifully presented boxset contains the 2005 restored texts of The Fellowship of the Ring, The Two Towers and The Return of the King in hardback form, which include fold-out maps and a special plate section, as well...",€21.95,classic
Lord of the Rings Boxed Set,J. R. R. Tolkien,"The first part of J. R. R. Tolkien's epic adventure
THE LORD OF THE RINGS",€14.43,classic
Fellowship of the Ring,J. R. R. Tolkien,"This deluxe slipcased volume contains the definitive version of the text, featuring for the very first time full-colour facsimiles of pages from the Book of Mazarbul, illustrations by Tolkien that he intended for inclusion in the 'Bridge of Khazad-dum' chapter. Also appearing are previously unpublished family trees and two full-size fold-out maps.",€75.47,classic
Lord of the Rings,Chetwynd-Hayes,"Hidden beneath the streets of London is a dark and dreadful establishment known as The Monster Club, where vampires indulge in a rather different kind of Bloody Mary and ghouls tear into their gruesome repasts. Here, along with the usual monsters - vampires, werewolves, ghouls, and some of Dr Frankenstein's more freakish creations - you'll find other, less familiar ones. You'll meet the...",€23.61,classic
Monster Club,Graham Greene,"2013 Audie Award Winner, Audiobook of the Year...",€15.62,classic
The End of the Affair,Chimamanda Ngozi Adichie,"THE WOMEN'S PRIZE FOR FICTION 'WINNER OF WINNERS'
Winner of the Orange Broadband Prize for Fiction 2007, this is a heartbreaking, exquisitely written literary masterpiece. Now a major film starring Thandie Newton and Chiwetel Ejiofor, due for release in 2014",€11.98,classic
Half of a Yellow Sun,Margaret Mitchell,Tomorrow is another day . . .,€23.74,classic
Gone with the Wind,J. R. R. Tolkien,"The first ever paperback edition of Tolkien's complete Father Christmas letters, including a new introduction and rare archive materials.",€12.76,classic
Letters from Father Christmas,Leo Tolstoy,Three-Volume Boxed Set,€12.75,classic
War and Peace,J. R. R. Tolkien,This revised edition of Tolkien's famous illustrated letters from Father Christmas to his children includes a number of pictures and letters that have not been seen in print before. The perfect Christmas gift for Tolkien lovers of all ages.,€29.37,classic
Letters from Father Christmas,Levi,"Primo Levi, reduce da Auschwitz, pubblic",€23.41,classic
Se questo e un uomo,Steven Dunne,"DI Brook thought the nightmare was over- but the Reaper has left behind a horrifying legacy...
A nail-shredding thriller for fans of Stuart MacBride and Thomas Harris.",none,classic
Disciple,Lewis Carroll,"A gorgeous Macmillan Classics edition of this much-loved story, Through the Looking-Glass.",none,classic
Through the Looking-Glass,John Steinbeck,"Written more than 70 years ago, 1984 was George Orwell's chilling prophecy about the future. And while 1984 has come and gone, his dystopian vision of a government that will do anything to control the narrative is timelier than ever......",none,classic
Nineteen Eighty-Four,Scott Daly,"Although it follows the movement of thousands of men and women and the transformation of an entire nation, ""The Grapes of Wrath"" is also the story of one Oklahoma farm family, the Joads, who are driven off their homestead and forced to travel west to the promised land of California.",none,classic
Grapes of Wrath,Frances Evesham,The Brand NEW instalment in the bestselling Exham-on-Sea series....,none,classic
Open Wound,Thomas More,"More paints a vision of the customs and practices of a distant island, but Utopia means 'no place' and his narrator's name, Hythlodaeus, translates as 'dispenser of nonsense'. This tale masks what is a serious and subversive analysis of the failings of More's society.",none,classic
Murder at the Abbey,Lewis Carroll,"As little Alice goes deeper and deeper down the rabbit hole, she meets an assortment of oddball characters, like the eccentric March Hare, the whimsical Mad Hatter, and the enigmatic Cheshire Cat, who will all become familiar faces within this strange world.",none,classic
Utopia,Steve Cavanagh,The new thriller from Sunday Times bestselling author Steve Cavanagh,none,classic
Alice's Adventures in Wonderland and Through the Looking Glass (Illustrated Nove l),BRONTE,"As an orphaned child, Jane Eyre is first cruelly abused by her aunt, then cast out and sent to a charity school. Though she meets with further abuse, she receives an education, and eventually takes a job as a governess at the estate of Edward Rochester. Jane and Rochester begin to bond, but his dark moods trouble her.",none,classic
Devil's Advocate,Iona Grey,Epic historical romance from the author of the acclaimed Letters to the Lost,none,classic
Manga Classics Jane Eyre,none,none,none,classic
Glittering Hour,none,none,none,classic
We Have Always Lived in the Castle,Shirley Jackson,"Living in the Blackwood family home with only her sister Constance and her Uncle Julian for company, Merricat just wants to preserve their delicate way of life. But ever since Constance was acquitted of murdering the rest of the family, the world isn't leaving the Blackwoods alone.",€12.58,"crime, mystery, thriller"
Ancillary Justice,Ann Leckie,"The record-breaking debut novel that won every major science fiction award, Ancillary Justice is the story of a warship trapped in a human body and her search for revenge.",€10.58€11.50,"crime, mystery, thriller"
Conclave,Robert Harris,"Now available to preorder: THE SECOND SLEEP, Robert Harris's new thriller.
________________
THE POWER OF GOD.",€13.91,"crime, mystery, thriller"
Rebecca,Daphne Du Maurier,"A stunning hardback edition to mark the eightieth anniversary of one of the best-loved novels ever written. A bestselling gothic tale of love, murder and secrets.",€20.70,"crime, mystery, thriller"
Just Another Missing Person,Gillian McAllister,"The edge-of-your-seat follow-up to universally acclaimed break-out Top-5 bestseller Wrong Place, Wrong Time . . . ...",€24.27,"crime, mystery, thriller"
Man Who Died Twice,Richard Osman,"The second novel in the record-breaking number one bestselling Thursday Murder Club series, featuring the old (but far from past-it) team as they pursue a brand new mystery...",€13.69,"crime, mystery, thriller"
Woman Who Lied,Claire Douglas,The gripping new novel from the author of the Sunday Times number 1 bestseller The Girls Who Disappeared...,€12.36,"crime, mystery, thriller"
Goldfinch,Donna Tartt,Donna Tartt's phenomenally acclaimed new novel.,€15.93,"crime, mystery, thriller"
Hard-Boiled Wonderland and the End of the World,Haruki Murakami,"A narrative particle accelerator that zooms between Wild Turkey Whiskey and Bob Dylan, unicorn skulls and voracious librarians, John Coltrane and Lord Jim.",€13.55,"crime, mystery, thriller"
Rebecca,Daphne Du Maurier,A dark tale of the feminine unconscious.,€11.87,"crime, mystery, thriller"
Adventures of Indiana Jones,Liane Moriarty,"With his battered leather jacket, his trademark Fedora and his bullwhip, Indiana Jones has gone in search of adventure, confronted danger and unearthed an untold wealth of ancient treasures.",€17.43,"crime, mystery, thriller"
Husband's Secret,Ben Aaronovitch,"Mother of three and wife of John-Paul, Cecilia discovers an old envelope in the attic. Written in her husband's hand, it says: to be opened only in the event of my death. Curious, she opens it - and time stops. John-Paul's letter confesses to a terrible mistake which, if revealed, would wreck their family as well as the lives of others.",€13.55,"crime, mystery, thriller"
Broken Homes,Liane Moriarty,From the author of RIVERS OF LONDON - the SUNDAY TIMES bestselling PC Peter Grant series returns with something dark south of the river...,€9.33€10.35,"crime, mystery, thriller"
Truly Madly Guilty,Lee Child,"From the bestselling author behind the addictive, EMMY and GOLDEN GLOBE-winning HBO sensation BIG LITTLE LIES comes a cocktail of family, friendship, and the fear of what could have been . . ....",€14.34,"crime, mystery, thriller"
Killing Floor,Belinda Bauer,"""This was the first Jack Reacher novel and with its lean, spare prose it has one of the most intriguing heroes of our times and displays a gift for explosive drama.""",€14.28,"crime, mystery, thriller"
Darkside,Nick Cutter,"It is freezing mid-winter on Exmoor, and in a close-knit community where no stranger goes unnoticed, a local woman has been found murdered in her bed. This is local policeman Jonas Holly's first murder investigation. But he is distracted by anonymous letters, accusing him of failing to do his job.",€13.22,"crime, mystery, thriller"
Troop,Ben Aaronovitch,LORD OF THE FLIES meets STAND BY ME and THE THING in this fast-paced and completely addictive psychological thriller that will really get under your skin.,€10.10,"crime, mystery, thriller"
Whispers Under Ground,Ben Aaronovitch,A gripping new outing in London for PC Grant in the SUNDAY TIMES bestselling series from Ben Aaronovitch.,€9.64€10.35,"crime, mystery, thriller"
Rivers of London,Delia Owens,"The first of the Sunday Times Bestselling Peter Grant series
Discover the million-copy-bestseller series everyone is talking about",€15.07,"crime, mystery, thriller"
Where the Crawdads Sing,C. J. Tudor,"Kya Clark is unaffectionately known as the Marsh Girl, the wild and barefoot girl abandoned by her family and left to fend for herself on the outskirts of town in North Carolina. In 1969, when popular Chase Andrews is found dead, the locals immediately suspect her. While Kya has the skills necessary to live off the land in solitude, she's out of her depth when she's drawn to two young men from...",€11.19,"crime, mystery, thriller"
Other People,Peter James,The spine-tingling and absorbing new thriller from Britain's Queen of Creepy...,€11.98,"crime, mystery, thriller"
Dead Simple,Ben Aaronovitch,"Dead Simple was the first book by number one bestselling crime and thriller writer Peter James to be part of the multimillion-copy series featuring the definitive Brighton detective, Roy Grace.",€7.83€10.35,"crime, mystery, thriller"
Furthest Station,Colleen Hoover,"A stunning PC Peter Grant novella continues this bestselling series with commuting ghosts, a kidnapping, and a superb new London mystery!",€11.87,"crime, mystery, thriller"
Verity,"Greer Hendricks, Sarah Pekkanen","The word-of-mouth hit psychological suspense with an unforgettable twist, from the author of TikTok sensation It Ends With Us",€12.64,"crime, mystery, thriller"
Anonymous Girl,Christie J. Newport,"From the internationally bestselling authors of The Wife Between Us comes a mind-blowing thriller of betrayal, obsession and dangerous truths.",€13.79,"crime, mystery, thriller"
RAVEN'S MARK,Susan Lewis,...,€12.20,"crime, mystery, thriller"
"My Lies, Your Lies",Zoe Somerville,"Don't miss the gripping new book from the Sunday Times bestseller, Susan Lewis ? available to buy now!...",€28.49,"crime, mystery, thriller"
Night of the Flood,Shari Lapena,"A literary thriller set during the devastating North Sea flood of 1953, in which a love triangle turns murderous.",€14.03,"crime, mystery, thriller"
Unwanted Guest,Ben Aaronovitch,"A perfect getaway to a beautiful, remote hotel turns deadly in this claustrophobic, pulse-pounding and unputdownable thriller from the No. 1 Sunday Times bestseller, Shari Lapena....",€10.05,"crime, mystery, thriller"
Lies Sleeping,Lee Child,"The seventh PC Grant mystery is here, continuing bestselling series of London adventures. That's the way to do it . . .",€13.73,"crime, mystery, thriller"
Blue Moon,Helen Paris,"The bloodiest Jack Reacher thriller yet, with the highest ever body count. If you thought Jack Reacher ('the most reliable excellent basher of bad guys since Bond' - The Times) had limits, Blue Moon will prove you wrong....",€20.89,"crime, mystery, thriller"
Invisible Women's Club,Stephen King,"One woman's journey from invisibility to being seen once more, as she strives to save her beloved community allotment, perfect for fans of The Lido and Keeper of Stories. ...",€16.23,"crime, mystery, thriller"
It,Ben Aaronovitch,"Stalked by the malevolent clown Pennywise, seven children fight for their lives against an evil that takes the form of their darkest fears. Twenty-seven years later, following a spate of violent killings, their worst fears are confirmed: IT has returned. Once again they will have to face their most personal nightmares if they are to stop the evil once and for all. IT is one of Stephen King's most...",€10.05,"crime, mystery, thriller"
Moon Over Soho,Kentaro Miura,"Peter Grant is not just a lowly Detective Constable, he's also apprenticed to the last wizard in Britain: policing will never be the same again!",€17.07,"crime, mystery, thriller"
Berserk Volume 10,Joanna Cannon,"Warrior supreme Guts has returned, and just in time to save the weakened Band of the Hawk from certain destruction... and to form a bond with the beautiful warrior Casca. But job one is to find a way to free Griffith, the Hawks' leader, from the dank dungeons and round-the-clock tortures of the Hawks' former benefactor, the King of Midland.",€12.65,"crime, mystery, thriller"
Trouble with Goats and Sheep,Simon Scarrow,"THE SUNDAY TIMES DOUBLE BESTSELLER 'Part whodunnit, part coming of age, this is a gripping debut about the secrets behind every door' RACHEL JOYCE",€9.99€11.50,"crime, mystery, thriller"
Britannia (Eagles of the Empire 14),Harlan Coben,"A Sunday Times top ten bestseller. Shortlisted for the Wilbur Smith Adventure Writing Prize. Wintery Roman Britain in AD 52 is the setting for an action-packed novel of courage, camaraderie and warfare from No. 1 bestselling Simon Scarrow, author of INVICTUS and GLADIATOR. The fourteenth novel in the bestselling Eagles of the Empire series.",€9.10€10.35,"crime, mystery, thriller"
Promise Me,Genevieve Cogman,It began with a phone call... Has he now made a promise he can't keep? A gripping Myron Bolitar novel from the SUNDAY TIMES bestselling author of SIX YEARS.,€11.79,"crime, mystery, thriller"
Invisible Library,Liane Moriarty,The first novel in this fantastic urban fantasy series.,€13.31,"crime, mystery, thriller"
Big Little Lies,Tammy Cohen,Jane hasn't lived anywhere longer than six months since her son was born five years ago. She keeps moving in an attempt to escape her past. Now the idyllic seaside town of Pirriwee has pulled her to its shores and Jane finally feels like she belongs.,€13.79,"crime, mystery, thriller"
When She Was Bad,Patricia Highsmith,"Amira, Sarah, Paula, Ewan and Charlie have worked together for years - they know how each one likes their coffee, whose love life is a mess, whose children keep them up at night. But their comfortable routine life is suddenly shattered when an aggressive new boss walks in ...Now, there's something chilling in the air. Who secretly hates everyone?",€12.06,"crime, mystery, thriller"
Carol,Tess Gerritsen,"'Some books change lives. This is one of them' Val McDermid
A haunting story of obsessive love which scandalized the world when first published",€10.79,"crime, mystery, thriller"
Playing with Fire,Stuart MacBride,"If she is going to help Lily, she will have to find the answers alone, embarking on a search that will take her to the shadowy back streets of Venice.
There Julia finds far more than just answers, and uncovers a heartbreaking, long-buried tale of tragedy and devastation.",€14.82,"crime, mystery, thriller"
22 Dead Little Bodies and Other Stories,Liz Lawler,"From the No. 1 bestselling author of THE MISSING AND THE DEAD comes the short novel: 22 DEAD LITTLE BODIES, plus two short stories: STRAMASH and DI STEEL'S BAD HEIR DAY, and a novella: THE 45% HANGOVER, all featuring his most popular characters ? DS Logan McRae and DCI Roberta Steel.",€13.26,"crime, mystery, thriller"
Don't Wake Up,Conn Iggulden,A dark and gripping debut psychological thriller with a horrifying premise and a stinging twist.,€13.55,"crime, mystery, thriller"
Wolf of the Plains,Matt Wesolowski,The first book in the bestselling Conqueror series featuring Genghis Khan and his descendants.,€10.70,"crime, mystery, thriller"
Six Stories,Joseph Knox,"A chilling, unpredictable and startling thriller, based on six podcasts, Six Stories is also a classic murder mystery with a modern twist, and a devastating ending. Perfect for fans of 'Serial'.",€13.92,"crime, mystery, thriller"
Sirens,Phil Rickman,"It starts with the girl. How it ends is up to DC Aidan Waits. Isabelle Rossiter has run away again. When Aidan Waits, a troubled junior detective, is summoned to her father's penthouse home - he finds a manipulative man, with powerful friends. But retracing Isabelle's steps through a dark, nocturnal world, Waits finds something else.",€12.97,"crime, mystery, thriller"
"Wine of Angels, The",Stuart MacBride,"Welcome to the town of Ledwardine - steeped in cider and secrecy, and, as Merrily and her teenage daughter Jane discover, a village where horrific murder is a tradition spanning centuries.",€13.72,"crime, mystery, thriller"
Cold Granite,Johana Gustawsson,"The very first Logan McRae novel in the No.1 bestselling crime series from Stuart MacBride.
DS Logan McRae and the police in Aberdeen hunt a child killer who stalks the frozen streets.",€11.06,"crime, mystery, thriller"
Block 46,Colin Cotterill,"Award-winning debut French Noir thriller, first in the Roy & Castells series. A true-crime writer and a profiler join forces in the hunt for a serial killer.",€12.81,"crime, mystery, thriller"
Love Songs from a Shallow Grave,Paula Hawkins,"As usual, all is abnormal in Dr Siri Paiboun's morgue in downtown Vientiane. Siri and his team are investigating the case three women skewered by a sword through their hearts. A culprit has been apprehended, tried and sentenced to death in a week's time. But Siri isn't sure they have the right man.",€12.95,"crime, mystery, thriller"
Girl on the Train,Chris Nickson,"THE RUNAWAY SUNDAY TIMES NO.1 BESTSELLER AND THRILLER OF THE YEAR, NOW A MAJOR FILM STARRING EMILY BLUNT
'Really great suspense novel. Now Rachel has a chance to become a part of the lives she's only watched from afar.
Now they'll see;",€14.66,"crime, mystery, thriller"
Saltergate Psalter,Charity Norman,"`Chris Nickson works his usual magic, populating late medieval Chesterfield with characters that are clearly of their time and yet jump off the page, vibrant and familiar.",€13.32,"crime, mystery, thriller"
See You in September,James Patterson,Bestselling contemporary novelist Charity Norman shows how any one of us could be seduced by a disturbing cult,€12.68,"crime, mystery, thriller"
Tick Tock,Denzil Meyrick,"CAN MICHAEL BENNETT CATCH HIM?
The city calls on Detective Michael Bennett, pulling him away from a seaside retreat with his ten adopted children, his grandfather, and their beloved nanny, Mary Catherine.",€13.19,"crime, mystery, thriller"
Rat Stone Serenade,Nora Roberts,"It's December, and the Shannon family are returning home to their clifftop mansion near Kinloch for their annual AGM. However, a century ago Archibald Shannon stole the land upon which he built their home ? and his descendants have been cursed ever since...",€12.83,"crime, mystery, thriller"
Whiskey Beach,Ellis Peters,A tense and gripping new suspense novel from the world's greatest storyteller,€12.22,"crime, mystery, thriller"
Brother Cadfael's Penance,Pittacus Lore,"In his twentieth chronicle Brother Cadfael is involved in an investigation of a uniquely personal nature, for as he observes, 'Before I was a Brother I was a father.",€12.42,"crime, mystery, thriller"
Fate of Ten,Pittacus Lore,The brand new instalment in the bestselling Lorien Legacies series will delight fans of I Am Number Four...,€12.42,"crime, mystery, thriller"
Fate of Ten,Catherine Simpson,The brand new instalment in the bestselling Lorien Legacies series will delight fans of I Am Number Four...,€11.56,"crime, mystery, thriller"
Truestory,Alex Caan,"Alice's life is dictated by her autistic son, Sam, who refuses to leave their remote Lancashire farm. Husband Duncan brings Larry, a rootless wanderer, to the farm to embark on a money making scheme they've dreamed up. Alice is hostile but Larry beguiles Sam with tales of travel in the outside world and, soon, Alice begins to fall for him, too.",€13.16,"crime, mystery, thriller"
Cut to the Bone,Steve Cavanagh,"A DARK AND GRIPPING DEBUT FOR FANS OF SARAH HILARY AND THE FALL . . . . .But she's an adult - the police aren't too worried. . But can Kate wholly trust him - and more importantly, can she trust herself around him? .",€12.29,"crime, mystery, thriller"
Thirteen,Stieg Larsson,"'An oh so clever hook for an oh so clever,gripping book, my favourite read of the year.' Sarah Pinborough
'Books this ingenious don't come along very often' Michael Connelly",€12.24,"crime, mystery, thriller"
Girl with the Dragon Tattoo,Louise Beech,The internationally bestselling trilogy - reissued to tie in with the long-awaited continuation of one of the major publishing phenomenons of modern times,€13.79,"crime, mystery, thriller"
How to be Brave,Amanda Jennings,"A mother battles to save her child's life by recounting an extraordinary true story of a sailor's fight for survival at sea during the Second World War ... a beautiful, poignant debut celebrating the power of words, and what it really means to be brave.",€8.18€10.35,"crime, mystery, thriller"
In Her Wake,Gillian McAllister,The perfect life ... until she discovered it wasn't her own.,€13.91,"crime, mystery, thriller"
Everything but the Truth,Agnes Ravatn,A gripping and emotional debut full of shocking twists which is ideal for reading group audiences...,€12.20,"crime, mystery, thriller"
Bird Tribunal,Shari Lapena,"A stunning psychological thriller from one of Norway's most celebrated young novelists. Two people in exile on an isolated fjord. Two secrets. As the past tightens its grip, there may be no escape...",€14.01,"crime, mystery, thriller"
Couple Next Door,Ellis Peters,"You'll have the baby monitor and you'll take it in turns to go back every half hour.
Your daughter was sleeping when you checked on her last. Even then, you'll never guess the truth...until it's too late' LISA GARDNER
***OUT NOW *** the brand-new unputdownable thriller: NOT A HAPPY FAMILY",€13.07,"crime, mystery, thriller"
Monk's-Hood,James Swallow,"Past misdeeds find present and deadly reckonings in the third chronicle of Brother Cadfael, Ellis Peters' marvellously created medieval detective.",€13.67,"crime, mystery, thriller"
Nomad,Amy Engel,Someone has betrayed your country and murdered your friends. You're the only suspect. And the only one who can stop them striking again...,€13.94,"crime, mystery, thriller"
The Roanoke Girls,Karin Slaughter,"Lane Roanoke is 15 when she comes to live with her maternal grandparents and fireball cousin, Allegra, at the Roanoke family's rural estate following the suicide of her mother. Over one long, hot summer, Lane experiences the benefits of being one of the rich and beautiful Roanoke girls. But what she doesn't know is being a Roanoke girl carries a terrible legacy: either the girls run, or they die. For there is darkness at the heart of Roanoke, and when Lane discovers its insidious pull, she must make her choice.",€11.44,"crime, mystery, thriller"
Triptych,Oliver Bowden,"When Atlanta police detective Michael Ormewood is called out to a murder scene at the notorious Grady Homes, he finds himself faced with one of the the most brutal killings of his career: Aleesha Monroe is found in the stairwell in a pool of her own blood, her body horribly mutilated.",€12.64,"crime, mystery, thriller"
Renaissance,Lilja Sigurdardottir,"The Year of Our Lord 1476 - the Renaissance: culture and art flourish the bloodiest corruption and violence. Bitter blood-feuds rage between the warring political families of Italy. Following the murder of his father and brothers, Ezio Auditore di Firenze is entrusted with an ancient Codex, the key to a conspiracy that goes back to the centuries.",€12.63,"crime, mystery, thriller"
Snare,Harlan Coben,"Stunning debut thriller - first in the Reykjavik Noir series - by bestselling Icelandic crime writer, with an unforgettable protagonist.",€27.52,"crime, mystery, thriller"
Gone for Good,Susie Steiner,"Will Klein lost the love of his life and his brother in the same moment ... A superb thriller from the No.1 bestselling author.
'A criminally good novel' DAILY MIRROR",€13.98,"crime, mystery, thriller"
"Missing, Presumed",Stuart Turton,"A RICHARD & JUDY BESTSELLER 72 HOURS TO FIND HER... 'Hits the sweet spot between literary and crime fiction - Gripping' ERIN KELLY 'For those who love their crime fiction rich in psychology, beautifully written and laced with dark humour. Dive in' LUCIE WHITEHOUSE",none,"crime, mystery, thriller"
Seven Deaths of Evelyn Hardcastle,Simon Kernick,"A brilliantly original high concept murder mystery from a fantastic new talent: Gosford Park meets Groundhog Day, by way of Agatha Christie...",none,"crime, mystery, thriller"
Final Minute,none,"Featuring Simon Kernick's maverick detective, TINA BOYD, this is the gripping new race-against-time thriller by the best-selling author of Relentless, The Last 10 Seconds and Stay Alive.
'It's night, and I'm in a strange house.",none,"crime, mystery, thriller"
Half of a Yellow Sun,Chimamanda Ngozi Adichie,"Winner of the Baileys Prize 'Best of the Best', this is a heartbreaking, exquisitely written literary masterpiece by Chimamanda Ngozi Adichie.",€14.42,historical
Gentleman in Moscow,Amor Towles,"In 1922, Count Alexander Rostov is judged to be an unrepentant aristocrat at a Bolshevik tribunal, and sentenced to a lifetime of house arrest. Trapped in the tiny attic rooms of the glamorous Hotel Metropol, Rostov can only watch as Russia changes around him. But after making the acquaintance of several other guests, Rostov learns to embrace his unique position as he observes humankind and starts...",€13.59,historical
Silence of the Girls,Pat Barker,"The greatest war story in literature, retold by our greatest living storyteller on war - in the voice of the forgotten woman who lived through it...",€13.07,historical
Clytemnestra,Costanza Casati,"Giving voice to a woman condemned by history, this debut is an epic feminist retelling of the story of notorious Spartan queen, Clytemnestra....",€23.93,historical
Song of Achilles,Madeline Miller,"Traditional Chinese edition of A Song of Achillis, Amazon Best Books of the Month, March 2012. In Traditional Chinese. Annotation copyright Tsai Fong Books, Inc. Distributed by Tsai Fong Books, Inc.",€12.89,historical
Wait for Me,Santa Montefiore,THE BRAND-NEW NOVEL FROM THE NUMBER ONE BESTSELLING AUTHOR,€19.39,historical
Keeper of Lost Things,Ruth Hogan,"The phenomenal bestselling debut and word-of-mouth hit from one of the Queens of Up-Lit. A novel of lost objects and second chances, as joyous as Singing in the Rain or La La Land.",€10.35,historical
"Three Sisters, Three Queens",Philippa Gregory,Synopsis coming soon.......,€12.50,historical
Secret Midwife,Soraya M. Lane,From the bestselling author of The London Girls comes a story of courage and resilience amidst the horror of Auschwitz?and one woman's last chance to share it with the world....,€13.11,historical
Gustav Sonata,Rose Tremain,"What is the difference between friendship and love? Gustav grows up in a small town in Switzerland, where the horrors of the Second World War seem a distant echo. But Gustav's father has mysteriously died, and his adored mother Emilie is strangely cold and indifferent to him. Gustav's life is a lonely one until he meets Anton.",€13.30,historical
Britannia (Eagles of the Empire 14),Simon Scarrow,"A Sunday Times top ten bestseller. Shortlisted for the Wilbur Smith Adventure Writing Prize. Wintery Roman Britain in AD 52 is the setting for an action-packed novel of courage, camaraderie and warfare from No. 1 bestselling Simon Scarrow, author of INVICTUS and GLADIATOR. The fourteenth novel in the bestselling Eagles of the Empire series.",€9.99€11.50,historical
Yellow Crocus,Laila Ibrahim,"Originally published: Berkeley, CA: Flaming Chalice Press, 2010.",€14.20,historical
Wolf of the Plains,Conn Iggulden,The first book in the bestselling Conqueror series featuring Genghis Khan and his descendants.,€13.55,historical
Observations,Jane Harris,A darkly humorous and intriguing story of one woman's journey from a difficult past into an even more disturbing present.,€16.09,historical
Florence Grace,Tracy Rees,"Florrie Buckley is an orphan, living on the wind-blasted moors of Cornwall. It's a hard existence but Florrie is content; she runs wild in the mysterious landscape. She thinks her destiny is set in stone. But when Florrie is fourteen, she inherits a never-imagined secret. -- Books Council of Wales",€14.38,historical
Bone Clocks,David Mitchell,"The dazzling new novel from the author of Cloud Atlas, at once the kaleidoscopic story of an unusual woman's life, a metaphysical thriller and a profound meditation on mortality and survival.",€13.64,historical
Buck Danny 6 - Mystery in Antarctica,Francis Bergese,"When a flight of unidentified fighters is photographed off the Antarctic continent, where no military presence is authorised, the carrier Harry Truman is sent to investigate.",€11.19,historical
Gunner Girl,Clare Harvey,Synopsis coming soon.......,€9.27,historical
Song of the Sea Maid,Rebecca Mascull,"Rich, evocative second novel from the author of THE VISITORS: 'Beautifully written... wonderful stuff.' - Sarah Broadhurst, The Bookseller.",€11.97,historical
Daughters of Night,Laura Shepherd-Robinson,"The second novel from the author of Blood & Sugar, and this time Captain Harry Corsham's wife, Caro, takes centre stage as she pursues a murder case the city officials are refusing to investigate . . .",€23.03,historical
Time's Convert,Deborah Harkness,Sunday Times Number One bestselling author Deborah Harkness returns to the spellbinding world she created in A DISCOVERY OF WITCHES with an unconventional love story. ...,€13.43,historical
Murder at Elmstow Minster,Lindsay Jacob,"It is the 830s; a time of warring Anglo-Saxon kingdoms, declining monastic standards and outbursts of fear of divine retribution. Elmstow Minster ? a community of nuns in the Kingdom of the East Angles ? has been recently established to atone for the execution of a young prince.",€25.75,historical
City of Tears,Kate Mosse,From the Languedoc to Paris and Amsterdam Kate Mosse's new novel sees the Joubert family caught up in the St Bartholomew's Day Massacre and a frightening sequence of events thereafter...,€22.25,historical
Witch and the Tsar,Olesya Salnikova Gilmore,"'A delicate weaving of myth and history, The Witch and the Tsar breathes new life into stories you think you know' Hannah Whitten, New York Times bestselling author of For the Wolf",€17.58,historical
In the Palace of Flowers,Victoria Princewill,"Set in Iran at the end of the 19th Century ?in the Persian royal court of the Qajars?, In The Palace of Flowers is an atmospheric historical novel about Jamila, an Abyssinian slave who stands at the funeral of a Persian nobleman, watching the rites with empty eyes. In that very moment, she realises that her life will never be acknowledged or mourned with the same significance. The fear of being...",€13.43,historical
Corset,Laura Purcell,"The new Victorian chiller from the author of Radio 2 and Zoe Ball ITV Book Club pick, The Silent Companions....",€13.07,historical
