title,authors,overview,price(€),genre
Mr. Penumbra's 24-Hour Bookstore,Guy Staight,"Autumn 1914. Farmer Tom Bomford leaves his life in rural England for the sands of Eqypt. He is a member of the Worcestershire Yeomanry and he is at the start of a long and extraordinary adventure that will stretch across the whole of the First World War. Based on a true story, Testament is a remarkable portrait of violence and friendship, of war and the people affected by it. Of the soldiers...",€13.85,adventure
Testament,Andy Weir,"""Originally self-published, in a different form, as an ebook in 2011""--Title page verso.",€33.19,adventure
Martian,Syd Banks,"The inspiring philosophical journey of a man who goes to Hawaii to recover from the shock of his wife's death, and who finds the mystical Mama Lila, who helps him begin the journey to inner peace.",€11.59€12.50,adventure
Second Chance,Chakraborty,"S. A. Chakraborty continues the sweeping adventure begun in The City of Brass?""the best adult fantasy I've read since The Name of the Wind"" (#1 New York Times bestselling author Sabaa Tahir)?conjuring a world where djinn summon flames with the snap of a finger and waters run deep with old magic; where blood can be dangerous as any spell, and a clever con artist from Cairo will alter the fate...",€12.09,adventure
Kingdom of Copper,Katherine Arden,"""The magical adventure begun in The Bear and the Nightingale continues as brave Vasya, now a young woman, is forced to choose between marriage or life in a convent and instead flees her home--but soon finds herself called upon to help defend the city of Moscow when it comes under siege""--",€16.37,adventure
Girl in the Tower,Andy Weir,"I'm stranded on Mars. I have no way to communicate with Earth. I'm in a Habitat designed to last 31 days. If the Oxygenator breaks down, I'll suffocate. If the Water Reclaimer breaks down, I'll die of thirst. If the Hab breaches, I'll just kind of explode. If none of those things happen, I'll eventually run out of food and starve to death.",€22.59,adventure
Martian,Andrea Stewart,"The Emperor is Dead. Long live the Emperor. Lin Sukai finally sits on the throne she won at so much cost, but her struggles are only just beginning. Her people don't trust her. Her political alliances are weak. And in the north-east of the Empire, a rebel army of constructs is gathering, its leader determined to take the throne by force. Yet an even greater threat is on the horizon, for the...",€13.15,adventure
The Bone Shard Emperor,John Scalzi,The Kaiju Preservation Society is a thrilling standalone adventure from bestselling author John Scalzi. Jamie Gray embarks on the trip of a lifetime ? to protect enormous kaiju on an alternate Earth. But not all is safe in this human-free world . . .,€22.36,adventure
Kaiju Preservation Society,Una McCormack,Synopsis coming soon.......,€23.40,adventure
Enigma Tales,Chris Hadfield,"In the year 1973, NASA launches Apollo 18, a space mission which has been tasked with stopping a secret Soviet space station which has been spying on America.",none,adventure
Apollo Murders,"Daniels, Mitra","This graphic novel was inspired by the true story of a young Native American woman, Uleyli, known as Florida's Pocahontas. The beautiful full-color illustrations paint a picture of life in 16th-century Native American villages in what is now the southeastern U.S. The story celebrates Uleyle's creativity and nonviolent heroism.",none,adventure
Uleyli-The Princess & Pirate (A Junior Graphic Novel),Shah,"Edwardian polymath Hannibal Fogg was quite probably the most extraordinary man ever to have lived. In a life shrouded in mystery and devoted to secrecy, Fogg left a treasure trail of clues and encoded riddles - to be found and deciphered after his disappearance and death...",none,adventure
Hannibal Fogg,Clio Gray,"Scotland and Ireland 1798. Three people, two murders, one oath.",none,adventure
Legacy of the Lynx,Rati Mehrotra,"""A fantastic blend of science fiction and fantasy, Markswoman is the first in a duology about a female order of magical-knife wielding assassins who bring both peace and chaos to Asiana, a post-apocalyptic version of Asia. Perfect for readers of Sarah Beth Durst, Marie Lu, and Sabaa Tahir""--",none,adventure
Markswoman,Caitlin Davies,"A tale of love, betrayal and swimming based on the true stories of champion Victorian women.",none,adventure
Daisy Belle,Natasha Pulley,A SUNDAY TIMES BEST BOOK OF 2022...,none,adventure
Half Life of Valery K,Mary Connealy,"""When Nell becomes one of the first female Justices of the Peace in the country, she's immediately thrown into the fire. After an attempt is made on his life, widower Brand proposes a marriage of convenience to ensure his daughters will be taken care of-but as feelings grow, will this practical marriage become something more?""--",none,adventure
Laws of Attraction,Amy Lynn Green,"After Pearl Harbor, sweethearts Gordon Hooper and Dorie Armitage were broken up by their convictions. As a conscientious objector, he went west to fight fires as a smokejumper, while she joined the Army Corps. When a tragic accident raises suspicions, they're forced to work together, but the truth they uncover may lead to an impossible--and dangerous--choice.",none,adventure
Lines Between Us,Fowzia Karimi,"From Rona Jaffe award-winner Fowzia Karimi, a highly anticipated illustrated debut novel about a young family forced to flee their war-ravaged homeland, leaving behind everything and everyone beloved and familiar.",none,adventure
Above Us the Milky Way,James R. Hannibal,"When the Royal London Hospital orders a top neurosurgeon and workaholic to take a week off in Maui, he stumbles upon a murder and becomes obsessed with finding the killer. His efforts confound and irritate local detective Lisa Kealoha, but once they join forces, they uncover a destructive plot that runs far deeper than either of them could have imagined.",none,adventure
