title,author,rating,overview,genres,url
"Legend (Legend, #1)",Marie Lu,8.32,"What was once the western United States is now home to the Republic, a nation perpetually at war with its neighbors. Born into an elite family in one of the Republic's wealthiest districts, fifteen-year-old June is a prodigy being groomed for success in the Republic's highest military circles. Born into the slums, fifteen-year-old Day is the country's most wanted criminal. But his motives may not be as malicious as they seem.From very different worlds, June and Day have no reason to cross paths—until the day June's brother, Metias, is murdered and Day becomes the prime suspect. Caught in the ultimate game of cat and mouse, Day is in a race for his family's survival, while June seeks to avenge Metias's death. But in a shocking turn of events, the two uncover the truth of what has really brought them together, and the sinister lengths their country will go to keep its secrets.Alternate Cover edition for ISBN 9780399256752","Young Adult,Dystopia,Fantasy,Science Fiction,Romance,Fiction,Adventure",https://www.amazon.com/s?k=Legend&crid=TOQJCXSNICLI&sprefix=Legend%2Caps%2C163&ref=nb_sb_noss_1k=Legend
The Martian,Andy Weir,8.82,"Six days ago, astronaut Mark Watney became one of the first people to walk on Mars. Now, he’s sure he’ll be the first person to die there.After a dust storm nearly kills him and forces his crew to evacuate while thinking him dead, Mark finds himself stranded and completely alone with no way to even signal Earth that he’s alive—and even if he could get word out, his supplies would be gone long before a rescue could arrive. Chances are, though, he won’t have time to starve to death. The damaged machinery, unforgiving environment, or plain-old “human error” are much more likely to kill him first. But Mark isn’t ready to give up yet. Drawing on his ingenuity, his engineering skills — and a relentless, dogged refusal to quit — he steadfastly confronts one seemingly insurmountable obstacle after the next. Will his resourcefulness be enough to overcome the impossible odds against him?","Science Fiction,Fiction,Audiobook,Adventure,Space,Adult,Thriller",https://www.amazon.com/s?k=TheMartian&crid=TOQJCXSNICLI&sprefix=TheMartian%2Caps%2C163&ref=nb_sb_noss_1k=TheMartian
Fried Green Tomatoes at the Whistle Stop Cafe (Whistle Stop #1),Fannie Flagg,8.56,"Folksy and fresh, endearing and affecting, Fried Green Tomatoes at the Whistle Stop Cafe is a now-classic novel about two women: Evelyn, who is in the sad slump of middle age, and gray-headed Mrs. Threadgoode, who is telling her life story. Her tale includes two more women, the irrepressibly daredevilish tomboy Idgie and her friend Ruth who back in the thirties ran a little place in Whistle Stop, Alabama, offering good coffee, southern barbecue, and all kinds of love and laughter, even an occasional murder. And as the past unfolds, the present will never be quite the same again.","Fiction,Historical Fiction,LGBT,Classics,Queer,Chick Lit,Historical",https://www.amazon.com/s?k=FriedGreenTomatoesattheWhistleStopCafe&crid=TOQJCXSNICLI&sprefix=FriedGreenTomatoesattheWhistleStopCafe%2Caps%2C163&ref=nb_sb_noss_1k=FriedGreenTomatoesattheWhistleStopCafe
Sophie's Choice,William Styron,8.34,Three stories are told: a young Southerner wants to become a writer a turbulent love-hate affair between a brilliant Jew and a beautiful Polish woman and of an awful wound in that woman's past--one that impels both Sophie and Nathan toward destruction.,"Fiction,Classics,Historical Fiction,Holocaust,War,Historical,World War II",https://www.amazon.com/s?k=Sophie'sChoice&crid=TOQJCXSNICLI&sprefix=Sophie'sChoice%2Caps%2C163&ref=nb_sb_noss_1k=Sophie%27sChoice
"Fifty Shades Darker (Fifty Shades, #2)",E.L. James,7.66,"Daunted by the singular sexual tastes and dark secrets of the beautiful, tormented young entrepreneur Christian Grey, Anastasia Steele has broken off their relationship to start a new career with a Seattle publishing house. But desire for Christian still dominates her every waking thought, and when he proposes a new arrangement, Anastasia cannot resist. They rekindle their searing sensual affair, and Anastasia learns more about the harrowing past of her damaged, driven, and demanding Fifty Shades. While Christian wrestles with his inner demons, Anastasia must confront her anger and envy of the women who came before her and make the most important decision of her life. Erotic, sparkling and suspenseful, Fifty Shades Darker is the irresistibly addictive second part of the Fifty Shades trilogy.","Romance,Fiction,Erotica,BDSM,Adult,Contemporary,Contemporary Romance",https://www.amazon.com/s?k=FiftyShadesDarker&crid=TOQJCXSNICLI&sprefix=FiftyShadesDarker%2Caps%2C163&ref=nb_sb_noss_1k=FiftyShadesDarker
The Prince of Tides,Pat Conroy,8.5,"Pat Conroy has created a huge, brash thunderstorm of a novel, stinging with honesty and resounding with drama. 'Spanning forty years, this is the story of turbulent Tom Wingo, his gifted and troubled twin sister Savannah, and the dark and violent past of the extraordinary family into which they were born.","Fiction,Classics,Romance,Southern,Contemporary,Literary Fiction,Drama",https://www.amazon.com/s?k=ThePrinceofTides&crid=TOQJCXSNICLI&sprefix=ThePrinceofTides%2Caps%2C163&ref=nb_sb_noss_1k=ThePrinceofTides
Middlemarch,George Eliot,8.02,"Taking place in the years leading up to the First Reform Bill of 1832, Middlemarch explores nearly every subject of concern to modern life: art, religion, science, politics, self, society, human relationships. Among her characters are some of the most remarkable portraits in English literature: Dorothea Brooke, the heroine, idealistic but naive Rosamond Vincy, beautiful and egoistic: Edward Casaubon, the dry-as-dust scholar: Tertius Lydgate, the brilliant but morally-flawed physician: the passionate artist Will Ladislaw: and Fred Vincey and Mary Garth, childhood sweethearts whose charming courtship is one of the many humorous elements in the novel's rich comic vein.","Classics,Fiction,Historical Fiction,Literature,19th Century,Victorian,Novels",https://www.amazon.com/s?k=Middlemarch&crid=TOQJCXSNICLI&sprefix=Middlemarch%2Caps%2C163&ref=nb_sb_noss_1k=Middlemarch
The Complete Maus,Art Spiegelman,9.14,"On the occasion of the twenty-fifth anniversary of its first publication, here is the definitive edition of the book acclaimed as “the most affecting and successful narrative ever done about the Holocaust” (Wall Street Journal) and “the first masterpiece in comic book history” (The New Yorker).The Pulitzer Prize-winning Maus tells the story of Vladek Spiegelman, a Jewish survivor of Hitler’s Europe, and his son, a cartoonist coming to terms with his father’s story. Maus approaches the unspeakable through the diminutive. Its form, the cartoon (the Nazis are cats, the Jews mice), shocks us out of any lingering sense of familiarity and succeeds in “drawing us closer to the bleak heart of the Holocaust” (The New York Times).Maus is a haunting tale within a tale. Vladek’s harrowing story of survival is woven into the author’s account of his tortured relationship with his aging father. Against the backdrop of guilt brought by survival, they stage a normal life of small arguments and unhappy visits. This astonishing retelling of our century’s grisliest news is a story of survival, not only of Vladek but of the children who survive even the survivors. Maus studies the bloody pawprints of history and tracks its meaning for all of us.","Graphic Novels,Comics,Nonfiction,History,Biography,Memoir,Historical",https://www.amazon.com/s?k=TheCompleteMaus&crid=TOQJCXSNICLI&sprefix=TheCompleteMaus%2Caps%2C163&ref=nb_sb_noss_1k=TheCompleteMaus
"A Court of Thorns and Roses (A Court of Thorns and Roses, #1)",Sarah J. Maas,8.4,"Feyre's survival rests upon her ability to hunt and kill – the forest where she lives is a cold, bleak place in the long winter months. So when she spots a deer in the forest being pursued by a wolf, she cannot resist fighting it for the flesh. But to do so, she must kill the predator and killing something so precious comes at a price ...Dragged to a magical kingdom for the murder of a faerie, Feyre discovers that her captor, his face obscured by a jewelled mask, is hiding far more than his piercing green eyes would suggest. Feyre's presence at the court is closely guarded, and as she begins to learn why, her feelings for him turn from hostility to passion and the faerie lands become an even more dangerous place. Feyre must fight to break an ancient curse, or she will lose him forever.","Fantasy,Romance,Young Adult,Fiction,New Adult,Fae,Retellings",https://www.amazon.com/s?k=ACourtofThornsandRoses&crid=TOQJCXSNICLI&sprefix=ACourtofThornsandRoses%2Caps%2C163&ref=nb_sb_noss_1k=ACourtofThornsandRoses
"Things Fall Apart (The African Trilogy, #1)",Chinua Achebe,7.46,"A simple story of a ""strong man"" whose life is dominated by fear and anger, Things Fall Apart is written with remarkable economy and subtle irony. Uniquely and richly African, at the same time it reveals Achebe's keen awareness of the human qualities common to men of all times and places.","Fiction,Classics,Historical Fiction,Africa,School,Literature,Nigeria",https://www.amazon.com/s?k=ThingsFallApart&crid=TOQJCXSNICLI&sprefix=ThingsFallApart%2Caps%2C163&ref=nb_sb_noss_1k=ThingsFallApart
The Monster at the End of this Book,Jon Stone,8.9," ""On the first page, what did that say? Did that say there will be a Monster at the end of the book???"" Read along as Grover begs you not to turn the page—because there is a monster at this end of this book!Lovable, furry old Grover is distressed to learn that there's a monster at the end of this book! He begs readers not to turn the pages, but of course kids feel they just have to see this monster for themselves. Grover is astonished—and toddlers will be delighted—to discover who is really the monster at the end of the book!Many adults name this book as their favorite Little Golden Book. This all-time favorite is now available as a Big Little Golden Book—perfect for lap-time reading. Jon Stone  (1931–1997) is the author of this book, but he was also Sesame Street's principal director until 1996. Working with Jim Henson, he helped create many of the Muppet characters, including Big Bird and Cookie Monster. He was also responsible for the show's format and setting. Stone contributed occasional announcer voices (such as the soap opera promo spoof ""School in the Afternoon""), and served similar duty on two Muppet Meeting Films. Stone died of complications from Lou Gehrig's disease on March 30th, 1997. In his New York Times obituary, Joan Ganz Cooney describes Stone as ""probably the most brilliant writer of children's television material in America"".","Picture Books,Childrens,Fiction,Humor,Classics,Monsters,Storytime",https://www.amazon.com/s?k=TheMonsterattheEndofthisBook&crid=TOQJCXSNICLI&sprefix=TheMonsterattheEndofthisBook%2Caps%2C163&ref=nb_sb_noss_1k=TheMonsterattheEndofthisBook
Eleanor & Park,Rainbow Rowell,7.9,"“Bono met his wife in high school,” Park says.“So did Jerry Lee Lewis,” Eleanor answers.“I’m not kidding,” he says.“You should be,” she says, “we’re 16.”“What about Romeo and Juliet?”“Shallow, confused, then dead.”“I love you,” Park says.“Wherefore art thou,” Eleanor answers.“I’m not kidding,” he says.“You should be.”Set over one school year in 1986, Eleanor & Park is the story of two star-crossed misfits – smart enough to know first love almost never lasts, but brave and desperate enough to try.","Young Adult,Romance,Fiction,Contemporary,Realistic Fiction,Audiobook,Teen",https://www.amazon.com/s?k=Eleanor&Park&crid=TOQJCXSNICLI&sprefix=Eleanor&Park%2Caps%2C163&ref=nb_sb_noss_1k=Eleanor%26Park
"The Magician's Nephew (Chronicles of Narnia, #6)",C.S. Lewis,8.1,"The secret passage to the house next door leads to a fascinating adventureNARNIA...where the woods are thick and cold, where Talking Beasts are called to life...a new world where the adventure begins.Digory and Polly meet and become friends one cold, wet summer in London. Their lives burst into adventure when Digory's Uncle Andrew, who thinks he is a magician, sends them hurtling to...somewhere else. They find their way to Narnia, newborn from the Lion's song, and encounter the evil sorceress Jadis before they finally return home.","Fantasy,Classics,Fiction,Young Adult,Childrens,Middle Grade,Adventure",https://www.amazon.com/s?k=TheMagician'sNephew&crid=TOQJCXSNICLI&sprefix=TheMagician'sNephew%2Caps%2C163&ref=nb_sb_noss_1k=TheMagician%27sNephew
"Bridget Jones's Diary (Bridget Jones, #1)",Helen Fielding,7.6,"Meet Bridget Jones —a 30-something Singleton who is certain she would have all the answers if she could:a. lose 7 poundsb. stop smokingc. develop Inner Poise""129 lbs. (how is it possible to put on 4 pounds in the middle of the night? Could flesh have somehow solidified becoming denser and heavier? Repulsive, horrifying notion), alcohol units 4 (excellent), cigarettes 21 (poor but will give up totally tomorrow), number of correct lottery numbers 2 (better, but nevertheless useless)...""""Bridget Jones' Diary"" is the devastatingly self-aware, laugh-out-loud daily chronicle of Bridget's permanent, doomed quest for self-improvement — a year in which she resolves to: reduce the circumference of each thigh by 1.5 inches, visit the gym three times a week not just to buy a sandwich, form a functional relationship with a responsible adult - and learn to program the VCR.Over the course of the year, Bridget loses a total of 72 pounds but gains a total of 74. She remains, however, optimistic. Through it all, Bridget will have you helpless with laughter, and — like millions of readers the world round — you'll find yourself shouting, ""Bridget Jones is me!""","Fiction,Chick Lit,Romance,Humor,Contemporary,Comedy,Adult",https://www.amazon.com/s?k=BridgetJones'sDiary&crid=TOQJCXSNICLI&sprefix=BridgetJones'sDiary%2Caps%2C163&ref=nb_sb_noss_1k=BridgetJones%27sDiary
V for Vendetta,Alan Moore,8.52,"Remember, remember the fifth of November...A frightening and powerful tale of the loss of freedom and identity in a chillingly believable totalitarian world, V for Vendetta stands as one of the highest achievements of the comics medium and a defining work for creators Alan Moore and David Lloyd.Set in an imagined future England that has given itself over to fascism, this groundbreaking story captures both the suffocating nature of life in an authoritarian police state and the redemptive power of the human spirit which rebels against it. Crafted with sterling clarity and intelligence, V for Vendetta brings an unequaled depth of characterization and verisimilitude to its unflinching account of oppression and resistance.","Graphic Novels,Comics,Fiction,Dystopia,Science Fiction,Graphic Novels Comics,Classics",https://www.amazon.com/s?k=VforVendetta&crid=TOQJCXSNICLI&sprefix=VforVendetta%2Caps%2C163&ref=nb_sb_noss_1k=VforVendetta
Number the Stars,Lois Lowry,8.36,"Ten-year-old Annemarie Johansen and her best friend Ellen Rosen often think of life before the war. It's now 1943 and their life in Copenhagen is filled with school, food shortages, and the Nazi soldiers marching through town. When the Jews of Denmark are ""relocated,"" Ellen moves in with the Johansens and pretends to be one of the family. Soon Annemarie is asked to go on a dangerous mission to save Ellen's life.","Historical Fiction,Young Adult,Fiction,Classics,Childrens,Historical,Middle Grade",https://www.amazon.com/s?k=NumbertheStars&crid=TOQJCXSNICLI&sprefix=NumbertheStars%2Caps%2C163&ref=nb_sb_noss_1k=NumbertheStars
All the Light We Cannot See,Anthony Doerr,8.64,"Marie-Laure lives in Paris near the Museum of Natural History, where her father works. When she is twelve, the Nazis occupy Paris and father and daughter flee to the walled citadel of Saint-Malo, where Marie-Laure’s reclusive great uncle lives in a tall house by the sea. With them they carry what might be the museum’s most valuable and dangerous jewel.In a mining town in Germany, Werner Pfennig, an orphan, grows up with his younger sister, enchanted by a crude radio they find that brings them news and stories from places they have never seen or imagined. Werner becomes an expert at building and fixing these crucial new instruments and is enlisted to use his talent to track down the resistance. Deftly interweaving the lives of Marie-Laure and Werner, Doerr illuminates the ways, against all odds, people try to be good to one another.From the highly acclaimed, multiple award-winning Anthony Doerr, the stunningly beautiful instant New York Times bestseller about a blind French girl and a German boy whose paths collide in occupied France as both try to survive the devastation of World War II.An alternate cover for this ISBN can be found here","Historical Fiction,Fiction,Historical,War,World War II,Audiobook,Adult",https://www.amazon.com/s?k=AlltheLightWeCannotSee&crid=TOQJCXSNICLI&sprefix=AlltheLightWeCannotSee%2Caps%2C163&ref=nb_sb_noss_1k=AlltheLightWeCannotSee
The Graveyard Book,Neil Gaiman,8.3,"Nobody Owens, known to his friends as Bod, is a perfectly normal boy. Well, he would be perfectly normal if he didn't live in a graveyard, being raised and educated by ghosts, with a solitary guardian who belongs to neither the world of the living nor the world of the dead.There are dangers and adventures for Bod in the graveyard: the strange and terrible menace of the Sleer a gravestone entrance to a desert that leads to the city of ghouls friendship with a witch, and so much more.But it is in the land of the living that real danger lurks, for it is there that the man Jack lives and he has already killed Bod's family.A deliciously dark masterwork by bestselling author Neil Gaiman, with illustrations by award-winning Dave McKean.","Fantasy,Young Adult,Fiction,Horror,Middle Grade,Paranormal,Childrens",https://www.amazon.com/s?k=TheGraveyardBook&crid=TOQJCXSNICLI&sprefix=TheGraveyardBook%2Caps%2C163&ref=nb_sb_noss_1k=TheGraveyardBook
The Witches,Roald Dahl,8.34,"This is not a fairy-tale. This is about real witches. Real witches don't ride around on broomsticks. They don't even wear black cloaks and hats. They are vile, cunning, detestable creatures who disguise themselves as nice, ordinary ladies. So how can you tell when you're face to face with one? Well, if you don't know yet you'd better find out quickly-because there's nothing a witch loathes quite as much as children and she'll wield all kinds of terrifying powers to get rid of them.","Fantasy,Childrens,Fiction,Classics,Middle Grade,Young Adult,Witches",https://www.amazon.com/s?k=TheWitches&crid=TOQJCXSNICLI&sprefix=TheWitches%2Caps%2C163&ref=nb_sb_noss_1k=TheWitches
The Art of Racing in the Rain,Garth Stein,8.44,"Enzo knows he is different from other dogs: a philosopher with a nearly human soul (and an obsession with opposable thumbs), he has educated himself by watching television extensively, and by listening very closely to the words of his master, Denny Swift, an up-and-coming race car driver.Through Denny, Enzo has gained tremendous insight into the human condition, and he sees that life, like racing, isn't simply about going fast. On the eve of his death, Enzo takes stock of his life, recalling all that he and his family have been through.A heart-wrenching but deeply funny and ultimately uplifting story of family, love, loyalty, and hope, The Art of Racing in the Rain is a beautifully crafted and captivating look at the wonders and absurdities of human life ... as only a dog could tell it.","Fiction,Animals,Dogs,Audiobook,Adult Fiction,Adult,Book Club",https://www.amazon.com/s?k=TheArtofRacingintheRain&crid=TOQJCXSNICLI&sprefix=TheArtofRacingintheRain%2Caps%2C163&ref=nb_sb_noss_1k=TheArtofRacingintheRain
A Short History of Nearly Everything,Bill Bryson,8.42,"Bill Bryson describes himself as a reluctant traveller, but even when he stays safely at home he can't contain his curiosity about the world around him. ""A Short History of Nearly Everything"" is his quest to understand everything that has happened from the Big Bang to the rise of civilisation - how we got from there, being nothing at all, to here, being us. The ultimate eye-opening journey through time and space, revealing the world in a way most of us have never seen it before.","Nonfiction,Science,History,Audiobook,Humor,Physics,Popular Science",https://www.amazon.com/s?k=AShortHistoryofNearlyEverything&crid=TOQJCXSNICLI&sprefix=AShortHistoryofNearlyEverything%2Caps%2C163&ref=nb_sb_noss_1k=AShortHistoryofNearlyEverything
"The Power of One (The Power of One, #1)",Bryce Courtenay,8.7,"In 1939, as Hitler casts his enormous, cruel shadow across the world, the seeds of apartheid take root in South Africa. There, a boy called Peekay is born. His childhood is marked by humiliation and abandonment, yet he vows to survive and conceives heroic dreams, which are nothing compared to what life actually has in store for him. He embarks on an epic journey through a land of tribal superstition and modern prejudice where he will learn the power of words, the power to transform lives and the power of one.","Fiction,Historical Fiction,Africa,Classics,South Africa,Coming Of Age,Historical",https://www.amazon.com/s?k=ThePowerofOne&crid=TOQJCXSNICLI&sprefix=ThePowerofOne%2Caps%2C163&ref=nb_sb_noss_1k=ThePowerofOne
Love You Forever,Robert Munsch,8.74,"An extraordinarily different story by Robert Munsch is a gentle affirmation of the love a parent feels for their child—forever.""A young woman holds her newborn son and looks at him lovingly. Softly she sings to him: ""I'll love you forever. I'll like you for always. As long as I'm living, my baby you'll be.""So begins the story that has touched the hearts of millions worldwide. Since publication in l986, ""Love You Forever"" has sold more than 15 million copies in paperback and the regular hardcover edition (as well as hundreds of thousands of translated copies around the world). Sheila McGraw's  soft and colorful pastels perfectly complement the sentiment of the book—one that will be read repeatedly for years.","Picture Books,Childrens,Fiction,Classics,Family,Love,Realistic Fiction",https://www.amazon.com/s?k=LoveYouForever&crid=TOQJCXSNICLI&sprefix=LoveYouForever%2Caps%2C163&ref=nb_sb_noss_1k=LoveYouForever
"If I Stay (If I Stay, #1)",Gayle Forman,7.84,"In the blink of an eye everything changes. Seventeen ­year-old Mia has no memory of the accident she can only recall what happened afterwards, watching her own damaged body being taken from the wreck. Little by little she struggles to put together the pieces- to figure out what she has lost, what she has left, and the very difficult choice she must make. Heartwrenchingly beautiful, this will change the way you look at life, love, and family. Now a major motion picture starring Chloe Grace Moretz, Mia's story will stay with you for a long, long time.","Young Adult,Romance,Contemporary,Fiction,Realistic Fiction,Teen,Music",https://www.amazon.com/s?k=IfIStay&crid=TOQJCXSNICLI&sprefix=IfIStay%2Caps%2C163&ref=nb_sb_noss_1k=IfIStay
"The Gunslinger (The Dark Tower, #1)",Stephen King,7.86,"In the first book of this series, Stephen King introduces readers to one of his most enigmatic heroes, Roland of Gilead, The Last Gunslinger. He is a haunting figure, a loner on a spellbinding journey into good and evil. In his desolate world, which frighteningly mirrors our own, Roland pursues The Man in Black, encounters an alluring woman named Alice, and begins a friendship with the Kid from Earth called Jake. Both grippingly realistic and eerily dreamlike, The Gunslinger leaves readers eagerly awaiting the next chapter.","Fantasy,Fiction,Horror,Science Fiction,Westerns,Audiobook,Adventure",https://www.amazon.com/s?k=TheGunslinger&crid=TOQJCXSNICLI&sprefix=TheGunslinger%2Caps%2C163&ref=nb_sb_noss_1k=TheGunslinger
American Psycho,Bret Easton Ellis,7.62,"Patrick Bateman is twenty-six and he works on Wall Street, he is handsome, sophisticated, charming and intelligent. He is also a psychopath. Taking us to head-on collision with America's greatest dream—and its worst nightmare—American Psycho is bleak, bitter, black comedy about a world we all recognise but do not wish to confront.","Fiction,Horror,Classics,Thriller,Crime,Contemporary,Novels",https://www.amazon.com/s?k=AmericanPsycho&crid=TOQJCXSNICLI&sprefix=AmericanPsycho%2Caps%2C163&ref=nb_sb_noss_1k=AmericanPsycho
Beowulf,Unknown,6.94,"New York Times bestseller and winner of the Costa Book Award.Composed toward the end of the first millennium, Beowulf is the elegiac narrative of the adventures of Beowulf, a Scandinavian hero who saves the Danes from the seemingly invincible monster Grendel and, later, from Grendel's mother. He then returns to his own country and dies in old age in a vivid fight against a dragon. The poem is about encountering the monstrous, defeating it, and then having to live on in the exhausted aftermath. In the contours of this story, at once remote and uncannily familiar at the beginning of the twenty-first century, Nobel laureate Seamus Heaney finds a resonance that summons power to the poetry from deep beneath its surface. Drawn to what he has called the ""four-squareness of the utterance"" in Beowulf and its immense emotional credibility, Heaney gives these epic qualities new and convincing reality for the contemporary reader.","Classics,Poetry,Fiction,Fantasy,Mythology,School,Literature",https://www.amazon.com/s?k=Beowulf&crid=TOQJCXSNICLI&sprefix=Beowulf%2Caps%2C163&ref=nb_sb_noss_1k=Beowulf
"Aristotle and Dante Discover the Secrets of the Universe (Aristotle and Dante, #1)",Benjamin Alire Sáenz,8.64,"Dante can swim. Ari can't. Dante is articulate and self-assured. Ari has a hard time with words and suffers from self-doubt. Dante gets lost in poetry and art. Ari gets lost in thoughts of his older brother who is in prison. Dante is fair skinned. Ari's features are much darker. It seems that a boy like Dante, with his open and unique perspective on life, would be the last person to break down the walls that Ari has built around himself.But against all odds, when Ari and Dante meet, they develop a special bond that will teach them the most important truths of their lives, and help define the people they want to be. But there are big hurdles in their way, and only by believing in each other―and the power of their friendship―can Ari and Dante emerge stronger on the other side.","Young Adult,LGBT,Romance,Contemporary,Fiction,Queer,Audiobook",https://www.amazon.com/s?k=AristotleandDanteDiscovertheSecretsoftheUniverse&crid=TOQJCXSNICLI&sprefix=AristotleandDanteDiscovertheSecretsoftheUniverse%2Caps%2C163&ref=nb_sb_noss_1k=AristotleandDanteDiscovertheSecretsoftheUniverse
Gulliver's Travels,Jonathan Swift,7.16,"A wickedly clever satire uses comic inversions to offer telling insights into the nature of man and society. Nominated as one of America’s best-loved novels by PBS’s The Great American Read.Gulliver's Travels describes the four voyages of Lemuel Gulliver, a ship's surgeon. In Lilliput he discovers a world in miniature towering over the people and their city, he is able to view their society from the viewpoint of a god. However, in Brobdingnag, a land of giants, tiny Gulliver himself comes under observation, exhibited as a curiosity at markets and fairs. In Laputa, a flying island, he encounters a society of speculators and projectors who have lost all grip on everyday reality while they plan and calculate, their country lies in ruins. Gulliver's final voyage takes him to the land of the Houyhnhnms, gentle horses whom he quickly comes to admire - in contrast to the Yahoos, filthy bestial creatures who bear a disturbing resemblance to humans. This text, based on the first edition of 1726, reproduces all the original illustrations and includes an introduction by Robert Demaria, Jr, which discusses the ways Gulliver's Travels has been interpreted since its first publication. Jonathan Swift (1667-1745) was born in Dublin. For more than seventy years, Penguin has been the leading publisher of classic literature in the English-speaking world. With more than 1,700 titles, Penguin Classics represents a global bookshelf of the best works throughout history and across genres and disciplines. Readers trust the series to provide authoritative texts enhanced by introductions and notes by distinguished scholars and contemporary authors, as well as up-to-date translations by award-winning translators.","Classics,Fiction,Fantasy,Adventure,Literature,Novels,18th Century",https://www.amazon.com/s?k=Gulliver'sTravels&crid=TOQJCXSNICLI&sprefix=Gulliver'sTravels%2Caps%2C163&ref=nb_sb_noss_1k=Gulliver%27sTravels
"Fifty Shades Freed (Fifty Shades, #3)",E.L. James,7.68,"When unworldly student Anastasia Steele first encountered the driven and dazzling young entrepreneur Christian Grey it sparked a sensual affair that changed both of their lives irrevocably. Shocked, intrigued, and, ultimately, repelled by Christian’s singular erotic tastes, Ana demands a deeper commitment. Determined to keep her, Christian agrees.Now, Ana and Christian have it all—love, passion, intimacy, wealth, and a world of possibilities for their future. But Ana knows that loving her Fifty Shades will not be easy, and that being together will pose challenges that neither of them would anticipate. Ana must somehow learn to share Christian’s opulent lifestyle without sacrificing her own identity. And Christian must overcome his compulsion to control as he wrestles with the demons of a tormented past.Just when it seems that their strength together will eclipse any obstacle, misfortune, malice, and fate conspire to make Ana’s deepest fears turn to reality.This book is intended for mature audiences.","Romance,Erotica,Fiction,BDSM,Adult,Contemporary,Contemporary Romance",https://www.amazon.com/s?k=FiftyShadesFreed&crid=TOQJCXSNICLI&sprefix=FiftyShadesFreed%2Caps%2C163&ref=nb_sb_noss_1k=FiftyShadesFreed
Bel Canto,Ann Patchett,7.86,"Somewhere in South America, at the home of the country's vice president, a lavish birthday party is being held in honor of the powerful businessman Mr. Hosokawa. Roxane Coss, opera's most revered soprano, has mesmerized the international guests with her singing. It is a perfect evening—until a band of gun-wielding terrorists takes the entire party hostage. But what begins as a panicked, life-threatening scenario slowly evolves into something quite different, a moment of great beauty, as terrorists and hostages forge unexpected bonds and people from different continents become compatriots, intimate friends, and lovers.","Fiction,Contemporary,Literary Fiction,Book Club,Music,Novels,Historical Fiction",https://www.amazon.com/s?k=BelCanto&crid=TOQJCXSNICLI&sprefix=BelCanto%2Caps%2C163&ref=nb_sb_noss_1k=BelCanto
"The Eye of the World (The Wheel of Time, #1)",Robert Jordan,8.38,"The Wheel of Time turns and Ages come and pass, leaving memories that become legend. Legend fades to myth, and even myth is long forgotten when the Age that gave it birth returns again. What was, what will be, and what is, may yet fall under the Shadow.Moiraine Damodred arrives in Emond’s Field on a quest to find the one prophesized to stand against The Dark One, a malicious entity sowing the seeds of chaos and destruction. When a vicious band of half-men, half beasts invade the village seeking their master’s enemy, Moiraine persuades Rand al’Thor and his friends to leave their home and enter a larger unimaginable world filled with dangers waiting in the shadows and in the light.","Fiction,Fantasy,Epic Fantasy,High Fantasy,Science Fiction Fantasy,Audiobook,Adventure",https://www.amazon.com/s?k=TheEyeoftheWorld&crid=TOQJCXSNICLI&sprefix=TheEyeoftheWorld%2Caps%2C163&ref=nb_sb_noss_1k=TheEyeoftheWorld
"Harry Potter Series Box Set (Harry Potter, #1-7)",J.K. Rowling,9.48,"Over 4000 pages of Harry Potter and his world, including all 7 books.All seven eBooks in the multi-award winning, internationally bestselling Harry Potter series, available as one download with stunning cover art by Olly Moss. Enjoy the stories that have captured the imagination of millions worldwide.","Fantasy,Young Adult,Fiction,Magic,Childrens,Adventure,Classics",https://www.amazon.com/s?k=HarryPotterSeriesBoxSet&crid=TOQJCXSNICLI&sprefix=HarryPotterSeriesBoxSet%2Caps%2C163&ref=nb_sb_noss_1k=HarryPotterSeriesBoxSet
Go Ask Alice,Beatrice Sparks,7.48,"It started when she was served a soft drink laced with LSD in a dangerous party game. Within months, she was hooked, trapped in a downward spiral that took her from her comfortable home and loving family to the mean streets of an unforgiving city. It was a journey that would rob her of her innocence, her youth -- and ultimately her life. Read her diary. Enter her world. You will never forget her. ","Young Adult,Fiction,Classics,Contemporary,Mental Health,Realistic Fiction,Banned Books",https://www.amazon.com/s?k=GoAskAlice&crid=TOQJCXSNICLI&sprefix=GoAskAlice%2Caps%2C163&ref=nb_sb_noss_1k=GoAskAlice
"Dark Lover (Black Dagger Brotherhood, #1)",J.R. Ward,8.32,"The only purebred vampire left on the planet and the leader of the Black Dagger Brotherhood, Wrath has a score to settle with the slayers who killed his parents centuries ago.But when his most trusted fighter is killed -- orphaning a half-breed daughter unaware of her heritage or her fate -- Wrath must put down his dagger and usher the beautiful female into another world.Racked by a restlessness in her body that wasn’t there before, Beth Randall is helpless against the dangerously sexy man who comes to her at night with shadows in his eyes. His tales of the Brotherhood and blood frighten her. Yet his touch ignites a dawning new hunger one that threatens to consume them both…","Romance,Paranormal,Vampires,Paranormal Romance,Fantasy,Urban Fantasy,Adult",https://www.amazon.com/s?k=DarkLover&crid=TOQJCXSNICLI&sprefix=DarkLover%2Caps%2C163&ref=nb_sb_noss_1k=DarkLover
